k,score,silhouette,min_cluster_count,max_cluster_count,low_count_fraction,mean_cluster_count,target_count_penalty,inertia
5,0.388583878069121,0.43058387806912096,8,16,0.0,12.2,0.5249999999999999,38505.17548578842
6,0.36685191755801255,0.44685191755801257,2,16,0.16666666666666666,10.166666666666666,0.27083333333333326,31315.838843177156
8,0.34920271272814746,0.44045271272814746,2,16,0.25,7.625,0.046875,22728.024325442962
7,0.3260569410557713,0.4331997981986284,2,15,0.2857142857142857,8.714285714285714,0.08928571428571419,26527.279399835035
4,0.32273633511947847,0.3952363351194785,12,18,0.0,15.25,0.90625,53871.528943802456
3,0.29891081106647277,0.4222441443998061,18,23,0.0,20.333333333333332,1.5416666666666665,69865.80423111781
10,0.29023627073986547,0.44923627073986544,3,13,0.4,6.1,0.23750000000000004,15636.099241606384
11,0.23498915662073205,0.4504437020752775,2,13,0.5454545454545454,5.545454545454546,0.30681818181818177,13274.285718359715
9,0.21945109525042117,0.3872288730281989,4,14,0.4444444444444444,6.777777777777778,0.1527777777777778,21026.946913245094
12,0.15311592768466606,0.41561592768466604,1,12,0.6666666666666666,5.083333333333333,0.36458333333333337,12597.691836829881
