episode_idx,window_start_step,window_end_step,num_window_steps,eef_z_window_mean,eef_z_window_max,action.shoulder_pan.pos.mean,action.shoulder_pan.pos.std,action.shoulder_pan.pos.min,action.shoulder_pan.pos.max,state.shoulder_pan.pos.mean,state.shoulder_pan.pos.std,state.shoulder_pan.pos.min,state.shoulder_pan.pos.max,action.shoulder_lift.pos.mean,action.shoulder_lift.pos.std,action.shoulder_lift.pos.min,action.shoulder_lift.pos.max,state.shoulder_lift.pos.mean,state.shoulder_lift.pos.std,state.shoulder_lift.pos.min,state.shoulder_lift.pos.max,action.elbow_flex.pos.mean,action.elbow_flex.pos.std,action.elbow_flex.pos.min,action.elbow_flex.pos.max,state.elbow_flex.pos.mean,state.elbow_flex.pos.std,state.elbow_flex.pos.min,state.elbow_flex.pos.max,action.wrist_flex.pos.mean,action.wrist_flex.pos.std,action.wrist_flex.pos.min,action.wrist_flex.pos.max,state.wrist_flex.pos.mean,state.wrist_flex.pos.std,state.wrist_flex.pos.min,state.wrist_flex.pos.max,action.wrist_roll.pos.mean,action.wrist_roll.pos.std,action.wrist_roll.pos.min,action.wrist_roll.pos.max,state.wrist_roll.pos.mean,state.wrist_roll.pos.std,state.wrist_roll.pos.min,state.wrist_roll.pos.max,action.gripper.pos.mean,action.gripper.pos.std,action.gripper.pos.min,action.gripper.pos.max,state.gripper.pos.mean,state.gripper.pos.std,state.gripper.pos.min,state.gripper.pos.max,num_steps,eef_z_start,eef_z_min,eef_z_max,eef_z_end,eef_z_range,peak_episode_step,peak_frame_index,video_path,found,cx,cy,area,fill_ratio,aspect,num_found_frames,reason,grid_x,grid_y,grid_id,grid_center_cx,grid_center_cy,trajectory_label,auto_region_idx,auto_region_id,auto_region_center_cx,auto_region_center_cy
0,123,133,11,0.030516990752211152,0.04744564542537162,-9.113109068437057,0.06733598011603278,-9.255188941955566,-9.01098918914795,-9.170829252763228,0.042121605460983064,-9.20634937286377,-9.10866928100586,48.963317524303086,2.5714005615798605,46.28879928588867,53.4412956237793,44.11695064197887,1.5444612729825276,41.92708206176758,47.52604293823242,-33.700997439297765,3.954874909489885,-39.41267395019531,-26.893354415893555,-19.492293791337445,4.198658163605679,-25.29465103149414,-12.239347457885742,-65.08622256192294,0.04010500155072326,-65.12283325195312,-65.04228973388672,100.0,0.0,100.0,100.0,-5.5078254179521045,0.10221657229100103,-5.689865589141846,-5.34798526763916,-5.787545680999756,0.0,-5.787545680999756,-5.787545680999756,3.4348249435424805,0.04597074778259042,3.337306261062622,3.456495761871338,20.967741012573242,0.0,20.967741012573242,20.967741012573242,326,0.01724902638874072,0.0021223662394468934,0.12949490035572137,0.01812077444865777,0.12737253411627447,168,168,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-000.mp4,True,411.96960760997155,268.0194100777009,2322.5,0.9228476265114196,0.7857142857142857,4,,2,2,cell_x02_y02,410.0,257.5,high,2,region_02,417.78522201713685,260.72548877619903
1,95,105,11,0.0077305566995926,0.01637970040668779,-9.033188993280584,0.0761303594314378,-9.10866928100586,-8.864468574523926,-8.851148692044346,0.021751277005873964,-8.864468574523926,-8.815629005432129,46.840878226540305,2.4342253464730823,42.105262756347656,50.202430725097656,42.43607954545455,2.180538463509636,38.80208206176758,45.57291793823242,-18.301250371066008,5.489960370873379,-27.125192642211914,-9.814528465270996,-8.063408331437545,1.2377254481992985,-11.272287368774414,-7.343608379364014,-65.89902253584428,1.8509322186217214,-68.98912811279297,-63.83407211303711,100.0,0.0,100.0,100.0,-6.875346703962847,0.021751489370915415,-6.910866737365723,-6.862026691436768,-7.399267196655273,0.0,-7.399267196655273,-7.399267196655273,3.4023187160491943,0.07813524666596028,3.337306261062622,3.5756852626800537,20.981705578890715,0.029623318618240243,20.967741012573242,21.044546127319336,276,0.015922311819273255,0.0018678613622990087,0.13634535441807116,0.01689562634733896,0.13447749305577217,140,140,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-000.mp4,True,404.67492771420325,269.92117918169055,2239.25,0.9192323481116584,0.7241379310344828,4,,2,2,cell_x02_y02,410.0,257.5,high,2,region_02,417.78522201713685,260.72548877619903
2,133,143,11,0.05882274334349566,0.07632005413737714,-13.86835393038663,0.935609115904765,-15.067154884338379,-12.136752128601074,-14.70307480205189,0.687355053805186,-15.45787525177002,-13.406593322753906,55.47785533558238,1.866818559425119,51.68690872192383,58.434547424316406,50.02367401123047,2.860177596468284,44.27083206176758,53.38541793823242,-42.180693886496805,3.213949045465152,-46.908809661865234,-36.6306037902832,-28.31121756813743,3.39826602937214,-33.272891998291016,-22.574796676635742,-73.0897383256392,0.02315682673787741,-73.09706115722656,-73.01651000976562,100.0,0.0,100.0,100.0,-11.60839167508212,1.29651187448381,-13.65079402923584,-9.40170955657959,-13.810633832758123,1.0751046596315004,-15.36019515991211,-12.039072036743164,3.337306261062622,0.0,3.337306261062622,3.337306261062622,20.974723295731977,0.02207991804984011,20.967741012573242,21.044546127319336,299,0.017934528638124628,0.0008481781386884546,0.13200234977170114,0.017272004678388075,0.13115417163301268,178,178,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-000.mp4,True,487.98042842246963,270.60232637909513,2483.5,0.8253570436232287,0.847457627118644,4,,3,2,cell_x03_y02,474.0,257.5,high,4,region_04,489.19401149197955,242.69788429086742
3,111,121,11,0.025815323608453823,0.047750088830491456,-7.008546829223633,0.37311888861227444,-7.399267196655273,-6.1782660484313965,-6.3336661945689805,0.584902092523105,-7.008546829223633,-5.299145221710205,53.12231653386896,1.400429736792322,50.6072883605957,55.73549270629883,48.816287994384766,1.2055282688243965,46.61458206176758,50.390625,-30.047772667624734,6.43950496735213,-39.103553771972656,-19.010818481445312,-13.915217659690164,5.537916101811815,-23.662738800048828,-7.46449089050293,-70.82707838578658,1.8137691249708758,-72.93596649169922,-67.53926849365234,100.0,0.0,100.0,100.0,-4.504384474320845,0.055455634376001865,-4.566544532775879,-4.371184349060059,-4.371184349060059,0.0,-4.371184349060059,-4.371184349060059,3.380647897720337,0.057335596005417086,3.337306261062622,3.456495761871338,20.967741012573242,0.0,20.967741012573242,20.967741012573242,291,0.0171739194368625,0.0027517641424699008,0.12890095551159347,0.017585404771851484,0.12614919136912356,156,156,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-000.mp4,True,369.21160820080877,262.6490691945487,2196.5,0.9219263136288998,0.7068965517241379,4,,1,2,cell_x01_y02,346.0,257.5,high,1,region_01,356.74981926526885,234.67468540682532
4,105,115,11,0.0047633582828448566,0.013603218414115756,-8.504828323017467,0.6536916642397328,-9.645909309387207,-7.789987564086914,-7.905427715995095,0.2603373537889809,-8.522588729858398,-7.692307472229004,36.326830950650304,4.751765585599425,29.149797439575195,44.5344123840332,30.137310721657492,3.3705257490106213,25.390625,36.328125,-23.457917473532937,4.074677812913414,-30.139102935791016,-17.46522331237793,-15.310860200361772,0.2688455749330435,-16.107585906982422,-15.140525817871094,-66.11869742653586,1.1325078413416068,-68.26419830322266,-65.04228973388672,100.0,0.0,100.0,100.0,-2.7461428208784624,0.036613212386381745,-2.808302879333496,-2.661782741546631,-2.852702921087092,0.01404052601479384,-2.857142925262451,-2.808302879333496,3.456495761871338,0.0,3.456495761871338,3.456495761871338,20.967741012573242,0.0,20.967741012573242,20.967741012573242,289,0.01757626977753879,-0.0023592289245443765,0.1166603784641814,0.01642800572613766,0.11901960738872577,150,150,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-000.mp4,True,402.25833939968476,230.5397514545887,2273.75,0.8377855563743553,0.7796610169491526,4,,2,2,cell_x02_y02,410.0,257.5,high,2,region_02,417.78522201713685,260.72548877619903
5,104,114,11,0.018251141404795845,0.03680630653842247,-10.382950175892223,0.03870703912944795,-10.427350044250488,-10.329669952392578,-10.085470199584961,0.0,-10.085470199584961,-10.085470199584961,50.68089849298651,2.152612024469418,47.77328109741211,54.79082489013672,46.05823863636363,1.602520174387563,44.01041793823242,48.95833206176758,-26.015175212513316,5.53246431488504,-34.08037185668945,-17.156105041503906,-11.678892395713113,4.510145954872268,-19.613176345825195,-6.860078811645508,-74.81785236705433,2.9954213155042915,-78.57430267333984,-69.79460144042969,100.0,0.0,100.0,100.0,-6.995226816697554,0.021751489370915415,-7.008546829223633,-6.959706783294678,-7.399267196655273,0.0,-7.399267196655273,-7.399267196655273,3.4239895343780518,0.053082447214253946,3.337306261062622,3.456495761871338,21.009634711525656,0.03824353988928019,20.967741012573242,21.044546127319336,298,0.016519205021673103,0.004452697763998037,0.13225880790213357,0.01728521840202117,0.12780611013813553,149,149,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-000.mp4,True,418.20901007227326,295.0666388239831,2317.75,0.8564899293774166,0.8173018753781004,4,,2,3,cell_x02_y03,410.0,312.5,high,2,region_02,417.78522201713685,260.72548877619903
6,98,108,11,0.007235454270354394,0.01146162145891455,-3.46542349728671,0.2096697657798541,-3.931623935699463,-3.296703338623047,-3.2878233302723276,0.05023291297429319,-3.394383430480957,-3.1990232467651367,48.22721134532582,3.007893717069662,43.31983947753906,53.03643798828125,43.90388246016069,2.4472229932104623,40.88541793823242,48.046875,-10.552198973569004,2.607258850450063,-15.8423490524292,-7.805254936218262,-6.728206851265647,0.1430722615813698,-7.041402339935303,-6.557872295379639,-66.76308025013317,0.7953626421045223,-68.82803344726562,-66.16995239257812,100.0,0.0,100.0,100.0,-0.592740611596541,0.24310799070523673,-1.1477411985397339,-0.2686202824115753,-0.7392607548020103,0.037674684730719894,-0.8058608174324036,-0.7081807255744934,3.337306261062622,0.0,3.337306261062622,3.337306261062622,20.967741012573242,0.0,20.967741012573242,20.967741012573242,272,0.017186884027809976,0.003184782939699815,0.12665264402237736,0.01657578429517728,0.12346786108267754,143,143,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-000.mp4,True,349.4466578405754,280.2930964521503,2177.75,0.9140828949931814,0.700759789596727,4,,1,2,cell_x01_y02,346.0,257.5,high,0,region_00,346.15701112213765,289.9333701554038
7,104,114,11,0.007641236461524452,0.009738963373873089,-17.011877406727184,0.03496092512592467,-17.069597244262695,-16.923076629638672,-17.029637596823953,0.018837158451839173,-17.069597244262695,-17.0207576751709,52.12857367775657,1.7464320721900835,47.77328109741211,53.30634307861328,47.881155187433414,2.9619772395367385,42.05729293823242,50.52083206176758,-9.659969113089822,3.582860242041072,-16.306028366088867,-5.7187018394470215,-4.244622078808871,0.4822167850874341,-5.046842098236084,-3.838017463684082,-67.80287794633345,0.6912723161807791,-69.55296325683594,-67.29762268066406,100.0,0.0,100.0,100.0,-14.907314907420766,0.16008680030376415,-15.213675498962402,-14.774114608764648,-15.693195776505904,0.27770460347338244,-16.239316940307617,-15.311355590820312,3.489001989364624,0.16925450182959068,2.9797377586364746,3.5756852626800537,23.229995380748402,4.208354943509866,20.967741012573242,34.2549934387207,285,0.016569530484662837,0.0011308477762175112,0.12556964250269292,0.016061598390435236,0.12443879472647541,149,149,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-000.mp4,True,480.6500895167551,305.26731709394915,2420.0,0.9246253208182343,0.8303571428571428,4,,3,3,cell_x03_y03,474.0,312.5,high,3,region_03,468.66994071425074,296.78960677673695
8,97,107,11,0.012040025175709512,0.019991399323995587,-3.3943834088065405,1.2688161937146152,-5.396825313568115,-1.5384615659713745,-2.3598624034361406,0.9619963992675811,-4.175824165344238,-1.3919414281845093,61.56299868496981,1.4418411029635325,58.434547424316406,62.75303649902344,57.78882598876953,2.160201814215686,53.77604293823242,60.15625,-11.837853128259832,6.505519855476559,-23.879444122314453,-3.4003090858459473,-0.5192450129173019,1.334805704774981,-4.019340991973877,0.2719855010509491,-69.5163477117365,5.403236363870503,-80.26580810546875,-63.83407211303711,100.0,0.0,100.0,100.0,-0.7525807578455318,2.1146264385085596,-4.273504257202148,2.17338228225708,1.6539017077196727,1.1114387772587053,-0.6593406796455383,2.710622787475586,3.4673311710357666,0.034264572339456636,3.456495761871338,3.5756852626800537,21.044546127319336,0.0,21.044546127319336,21.044546127319336,268,0.015965773306374095,0.003901016189691728,0.15276576754316898,0.014455912108224583,0.14886475135347726,142,142,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-000.mp4,True,331.1030682458645,309.22360387336687,2262.25,0.897718253968254,0.7,4,,1,3,cell_x01_y03,346.0,312.5,high,0,region_00,346.15701112213765,289.9333701554038
9,120,130,11,0.028996170978310653,0.045422357434141684,-6.688866528597745,0.4119883678391665,-7.008546829223633,-5.836385726928711,-6.062825939872048,0.5557991480740905,-6.764346599578857,-5.15262508392334,53.72346982088956,3.5432630063952972,48.31309127807617,59.5141716003418,47.50236788662997,3.7552978983102925,40.75520706176758,52.99479293823242,-29.106365203857422,2.8243462908497294,-33.30757522583008,-24.4976806640625,-16.585620273243297,2.906605731517468,-21.063764572143555,-12.72287654876709,-70.35111444646662,0.23155839754926075,-70.51953125,-69.79460144042969,100.0,0.0,100.0,100.0,-2.4486625411293725,0.05989893110943022,-2.5152626037597656,-2.3687424659729004,-2.759462833404541,0.0,-2.759462833404541,-2.759462833404541,3.5756852626800537,0.0,3.5756852626800537,3.5756852626800537,20.967741012573242,0.0,20.967741012573242,20.967741012573242,302,0.016646882866141174,0.00022913745179350964,0.1221393058582643,0.016342938842459215,0.12191016840647079,165,165,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test2/videos/observation.images.top/chunk-000/file-000.mp4,True,359.4472207855157,242.60538832056548,2175.25,0.917179802955665,0.7068965517241379,4,,1,2,cell_x01_y02,346.0,257.5,high,1,region_01,356.74981926526885,234.67468540682532
