k,score,silhouette,min_cluster_count,max_cluster_count,low_count_fraction,mean_cluster_count,target_count_penalty,inertia
7,0.4618605283259526,0.5247176711830954,10,20,0.0,14.285714285714286,0.7857142857142858,37934.77797787452
6,0.45590776099380503,0.5425744276604717,11,20,0.0,16.666666666666668,1.0833333333333335,46917.732318892
9,0.4526704588995308,0.48378157001064187,8,20,0.0,11.11111111111111,0.38888888888888884,28050.9308455291
5,0.45091238865263716,0.5709123886526372,20,20,0.0,20.0,1.5,55371.19853259222
8,0.4465096957692666,0.49150969576926656,8,20,0.0,12.5,0.5625,32361.472813232613
10,0.43934134764694804,0.45934134764694806,8,12,0.0,10.0,0.25,23230.45639969436
11,0.43322480628018917,0.4759520790074619,5,12,0.09090909090909091,9.090909090909092,0.13636363636363646,19869.85903119245
12,0.4020947172690582,0.4637613839357249,4,12,0.16666666666666666,8.333333333333334,0.04166666666666674,18506.633723335945
4,0.32118239444964136,0.49118239444964135,21,31,0.0,25.0,2.125,103064.32654973131
3,0.25241554282762063,0.505748876160954,22,52,0.0,33.333333333333336,3.166666666666667,164268.74307284836
