episode_idx,video_path,found,cx,cy,area,fill_ratio,aspect,num_found_frames,reason
0,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-000.mp4,True,502.1973146608059,308.92239156923483,2601.25,0.8639166666666667,0.8333333333333334,4,
1,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-000.mp4,True,475.8746731146458,317.71014127245166,1958.25,0.9272017045454546,1.0909090909090908,4,
2,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-000.mp4,True,509.43657019491735,320.52717364470294,1743.5,0.9142681623931624,1.2564102564102564,4,
3,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-000.mp4,True,517.311401968341,316.2150451816329,2149.5,0.9062011054421768,1.03125,4,
4,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-000.mp4,True,521.9745744626069,309.8104062944484,2579.0,0.8852586206896552,0.8620689655172413,4,
5,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-000.mp4,True,478.3885863636866,316.6248850965899,2033.0,0.9341128970089423,1.0326086956521738,4,
6,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-000.mp4,True,493.97788869532087,291.8781961765709,2508.25,0.8738392857142857,0.8774630541871922,4,
7,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-000.mp4,True,517.0084609376115,300.8256252798235,2562.25,0.8835344827586207,0.8547632963179427,4,
8,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-000.mp4,True,473.34811293999485,301.1682199674126,2457.0,0.8980263157894737,0.8421052631578947,4,
9,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-000.mp4,True,505.9569724048568,295.38528399559596,2501.25,0.908734587585034,0.8583959899749374,4,
10,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-000.mp4,True,478.38719654274405,289.5035648572002,2443.75,0.9128406121687196,0.8245614035087719,4,
11,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-000.mp4,True,483.8141062630975,315.7782744059367,2173.0,0.9431423611111112,1.0,4,
12,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-000.mp4,True,501.3348711435162,316.9581339212883,2088.0,0.9263531499556344,1.065217391304348,4,
