grid_id,grid_x,grid_y,num_episodes,episode_ids,cx_mean,cy_mean,eef_z_max_mean,eef_z_max_std,eef_z_max_min,eef_z_max_max,eef_z_max_range,eef_z_max_iqr,prelift_wrist_mean,prelift_wrist_std,prelift_wrist_iqr,prelift_wrist_range,prelift_elbow_mean,prelift_elbow_std,prelift_elbow_iqr,prelift_elbow_range,prelift_gripper_mean,prelift_gripper_std,num_high,num_low,num_mid,num_unknown_label,matched_pairs,high_low_balance_ratio,high_low_imbalance,missing_high_low_pair_flag,high_eef_z_max_mean,low_eef_z_max_mean,high_eef_z_max_std,low_eef_z_max_std,high_minus_low_eef_gap,high_episode_ids,low_episode_ids
cell_x00_y00,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,,,,,,,
cell_x01_y00,1,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,,,,,,,
cell_x02_y00,2,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,,,,,,,
cell_x03_y00,3,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,,,,,,,
cell_x04_y00,4,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,,,,,,,
cell_x00_y01,0,1,1,50,313.78036167221296,218.38451803921066,0.07504519291500186,0.0,0.07504519291500186,0.07504519291500186,0.0,0.0,-99.03342507102273,0.0,0.0,0.0,-55.44470943104137,0.0,0.0,0.0,3.684039354324341,0.0,0,1,0,0,0,0.0,1.0,1,,0.07504519291500186,,0.0,,,50
cell_x01_y01,1,1,11,"42,44,46,47,51,52,53,55,56,57,59",348.9673476596088,217.52182330235019,0.11421091279595137,0.05730534036375576,0.06371217606315799,0.20236505672716537,0.13865288066400738,0.11205132801891705,-94.17593333346782,6.066771829944464,8.834622123024687,16.490315524014562,-57.066946076952725,4.850830744864436,8.788815931840375,13.769847176291726,3.713590484020138,0.11977828432208423,4,7,0,0,4,0.5714285714285714,0.2727272727272727,0,0.18953956040804076,0.07116597130332881,0.00900630327415541,0.004322348247557609,0.11837358910471195,"42,44,46,47","51,52,53,55,56,57,59"
cell_x02_y01,2,1,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,,,,,,,
cell_x03_y01,3,1,9,"22,24,25,29,33,34,35,38,39",481.9038898740962,219.01528603513157,0.12447369469533741,0.058008215900829156,0.06974462673005738,0.1998690066990136,0.13012437996895623,0.109155353187705,-88.91451779760496,9.383963327116092,17.39830918745561,26.32446150346236,-51.18651754205877,9.826002527182467,6.660109780051492,30.72924041748047,3.6443095207214355,0.09208327127864015,4,5,0,0,4,0.8,0.1111111111111111,0,0.18901893852819773,0.07283749962904915,0.008091850614295147,0.002316402906498007,0.11618143889914859,"22,24,25,29","33,34,35,38,39"
cell_x04_y01,4,1,2,"26,32",513.7278120252415,219.85076332322421,0.13838555178762552,0.053600535218876866,0.08478501656874865,0.19198608700650238,0.10720107043775373,0.053600535218876866,-82.920222195712,5.3344573974609375,5.3344573974609375,10.668914794921875,-48.233104185624555,15.543768275867809,15.543768275867812,31.087536551735617,4.475024310025302,0.7801495465365322,1,1,0,0,1,1.0,0.0,0,0.19198608700650238,0.08478501656874865,0.0,0.0,0.10720107043775373,26,32
