condition,episode,episode_idx,save_idx,raw_chunk_id,path,high_low_projection_score,dist_to_high_proto,dist_to_low_proto,dist_to_baseline_proto,prototype_label,is_lift_chunk
baseline,episode_000000,0,0,0,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt,-1.7252094745635986,1.2032263278961182,0.9571348428726196,1.042519211769104,low_like,1
baseline,episode_000000,0,1,1,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,-1.0279356241226196,3.0964765548706055,1.6732871532440186,2.077213764190674,low_like,0
baseline,episode_000000,0,2,2,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,0.6410039067268372,2.3334128856658936,2.7896475791931152,2.7682902812957764,high_like,1
baseline,episode_000000,0,3,3,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_3_003_observation_frame.pt,-0.030660295858979225,1.989463448524475,3.1119635105133057,2.9361073970794678,high_like,1
baseline,episode_000000,0,4,4,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_4_004_observation_frame.pt,2.682157278060913,2.0939629077911377,4.63754940032959,4.143381118774414,high_like,0
baseline,episode_000000,0,5,5,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_5_005_observation_frame.pt,-1.2998110055923462,0.3172552287578583,,0.0,unknown,0
baseline,episode_000001,1,0,0,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt,-1.4609265327453613,0.5320478677749634,0.40025779604911804,0.15612952411174774,low_like,1
baseline,episode_000001,1,1,1,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,1.5271897315979004,0.5008958578109741,1.0165295600891113,0.5960201025009155,high_like,0
baseline,episode_000001,1,2,2,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-0.8226264119148254,1.1666651964187622,0.4755318760871887,0.35071849822998047,low_like,1
baseline,episode_000001,1,3,3,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_3_003_observation_frame.pt,-2.7265617847442627,1.234126091003418,0.5161648988723755,0.3077723979949951,low_like,1
baseline,episode_000001,1,4,4,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_4_004_observation_frame.pt,-1.2844963073730469,2.376002073287964,0.9902065992355347,0.610842227935791,low_like,0
baseline,episode_000002,2,0,0,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,-1.6025334596633911,0.636871337890625,0.2524024546146393,0.11042289435863495,low_like,1
baseline,episode_000002,2,1,1,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,1.2406206130981445,0.7757567763328552,0.7315351963043213,0.3160581886768341,low_like,0
baseline,episode_000002,2,2,2,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,-0.8804928064346313,1.242972731590271,0.5222285389900208,0.4091165065765381,low_like,1
baseline,episode_000002,2,3,3,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_3_003_observation_frame.pt,-2.9042556285858154,1.7276548147201538,1.1260035037994385,0.736931324005127,low_like,1
baseline,episode_000002,2,4,4,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_4_004_observation_frame.pt,-1.9147350788116455,2.8550641536712646,0.15777400135993958,0.7611289620399475,low_like,0
baseline,episode_000003,3,0,0,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,-1.48720383644104,0.541344165802002,0.3599173426628113,0.11223600059747696,low_like,1
baseline,episode_000003,3,1,1,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,1.159041166305542,0.8507856130599976,0.6445659399032593,0.224954292178154,low_like,0
baseline,episode_000003,3,2,2,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-0.8465036153793335,1.1339433193206787,0.3069270849227905,0.3418799042701721,low_like,1
baseline,episode_000003,3,3,3,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_3_003_observation_frame.pt,-2.5882530212402344,1.0629584789276123,0.4811345934867859,0.39968669414520264,low_like,1
baseline,episode_000003,3,4,4,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_4_004_observation_frame.pt,-1.2709698677062988,2.391284227371216,1.061911702156067,0.6871658563613892,low_like,0
baseline,episode_000004,4,0,0,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_0_000_observation_frame.pt,-1.4644997119903564,0.5460760593414307,0.4120723307132721,0.17441076040267944,low_like,1
baseline,episode_000004,4,1,1,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,1.5631238222122192,0.49026164412498474,1.062667965888977,0.6464436650276184,high_like,0
baseline,episode_000004,4,2,2,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,-0.801810085773468,1.3211606740951538,0.8123253583908081,0.6818125247955322,low_like,1
baseline,episode_000004,4,3,3,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt,-2.9443113803863525,1.6791534423828125,0.9994475245475769,0.6084340810775757,low_like,1
baseline,episode_000004,4,4,4,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_4_004_observation_frame.pt,-1.839438796043396,2.784964084625244,0.20759432017803192,0.6286285519599915,low_like,0
baseline,episode_000005,5,0,0,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_0_000_observation_frame.pt,-1.4838863611221313,0.5410432815551758,0.3665325939655304,0.1345967948436737,low_like,1
baseline,episode_000005,5,1,1,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,1.3800183534622192,0.6477313041687012,0.8751742243766785,0.4576883018016815,high_like,0
baseline,episode_000005,5,2,2,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt,-0.9770598411560059,1.2878261804580688,0.39641332626342773,0.35158684849739075,low_like,1
baseline,episode_000005,5,3,3,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt,-2.833285331726074,1.6180201768875122,1.0415905714035034,0.5571116805076599,low_like,1
