condition,episode,episode_idx,num_focus_chunks,mean_high_low_projection_score,max_high_low_projection_score,min_high_low_projection_score,std_high_low_projection_score,high_like_frac,low_like_frac,expected_direction,instability_label,decision_midpoint
baseline,episode_000000,0,3,-0.3716219545652469,0.6410039067268372,-1.7252094745635986,0.9956346655878271,0.6666666666666666,0.3333333333333333,near middle,baseline,-1.322372814764579
baseline,episode_000001,1,3,-1.6700382431348164,-0.8226264119148254,-2.7265617847442627,0.7912177351164867,0.0,1.0,near middle,baseline,-1.322372814764579
baseline,episode_000002,2,3,-1.7957606315612793,-0.8804928064346313,-2.9042556285858154,0.8374192677705607,0.0,1.0,near middle,baseline,-1.322372814764579
baseline,episode_000003,3,3,-1.6406534910202026,-0.8465036153793335,-2.5882530212402344,0.7192972707543794,0.0,1.0,near middle,baseline,-1.322372814764579
baseline,episode_000004,4,3,-1.736873726050059,-0.801810085773468,-2.9443113803863525,0.8956259085152751,0.0,1.0,near middle,baseline,-1.322372814764579
baseline,episode_000005,5,3,-1.7647438446680705,-0.9770598411560059,-2.833285331726074,0.7833917549171853,0.0,1.0,near middle,baseline,-1.322372814764579
baseline,episode_000006,6,3,-1.858017086982727,-1.1162950992584229,-2.7275772094726562,0.6639851660990497,0.0,1.0,near middle,baseline,-1.322372814764579
baseline,episode_000007,7,3,-1.6740645964940388,-0.6346051692962646,-2.8625974655151367,0.9156617229433767,0.0,1.0,near middle,baseline,-1.322372814764579
baseline,episode_000008,8,3,-1.8032445708910625,-0.9929925799369812,-2.8273544311523438,0.7639905067023737,0.0,1.0,near middle,baseline,-1.322372814764579
baseline,episode_000009,9,3,-1.5627667903900146,-0.8308013677597046,-2.4453556537628174,0.6676885258305132,0.0,1.0,near middle,baseline,-1.322372814764579
high,episode_000000,0,3,-1.1974807182947795,-0.5407710671424866,-2.089357852935791,0.6537114894973276,0.6666666666666666,0.3333333333333333,positive/high-like,expected,-1.322372814764579
high,episode_000001,1,3,-0.4589967528978984,0.728620707988739,-1.1157017946243286,0.841341140095241,1.0,0.0,positive/high-like,expected,-1.322372814764579
high,episode_000002,2,3,-0.4934912919998169,0.7269481420516968,-1.280523419380188,0.8749731186714225,1.0,0.0,positive/high-like,expected,-1.322372814764579
high,episode_000003,3,3,-1.2887972394625347,-0.46245086193084717,-2.477100372314453,0.8613797776295455,0.3333333333333333,0.6666666666666666,positive/high-like,expected,-1.322372814764579
high,episode_000004,4,3,-1.0900381704171498,-0.45269373059272766,-1.8538076877593994,0.578945913081613,0.6666666666666666,0.3333333333333333,positive/high-like,expected,-1.322372814764579
high,episode_000005,5,3,-0.3132908542950948,1.0645629167556763,-1.0350359678268433,0.9746581612334999,1.0,0.0,positive/high-like,expected,-1.322372814764579
high,episode_000006,6,3,-0.4165462652842204,1.0810655355453491,-1.3393843173980713,1.0684624527213535,1.0,0.0,positive/high-like,expected,-1.322372814764579
high,episode_000007,7,3,-0.8482012202342352,-0.03953273594379425,-1.4419629573822021,0.5923632410250008,1.0,0.0,positive/high-like,expected,-1.322372814764579
high,episode_000008,8,3,-1.2351439595222473,-0.37143951654434204,-2.2275025844573975,0.7631760181063614,0.6666666666666666,0.3333333333333333,positive/high-like,expected,-1.322372814764579
high,episode_000009,9,3,-0.4572810133298238,0.7545080184936523,-1.1438417434692383,0.859391851390111,1.0,0.0,positive/high-like,expected,-1.322372814764579
low,episode_000000,0,3,-1.8112467328707378,-0.833622395992279,-2.9576942920684814,0.87532710656108,0.0,1.0,negative/low-like,expected,-1.322372814764579
low,episode_000001,1,3,-1.973248283068339,-1.0573601722717285,-2.9127039909362793,0.7576242450749037,0.0,1.0,negative/low-like,expected,-1.322372814764579
low,episode_000002,2,3,-1.7800098657608032,-0.9028388261795044,-2.726564645767212,0.7461476814653821,0.0,1.0,negative/low-like,expected,-1.322372814764579
low,episode_000003,3,3,-1.9612902800242107,-1.0196208953857422,-3.013207197189331,0.8176031941008584,0.0,1.0,negative/low-like,expected,-1.322372814764579
low,episode_000004,4,3,-1.8573644558588664,-0.8682794570922852,-3.0003437995910645,0.8771876242469396,0.0,1.0,negative/low-like,expected,-1.322372814764579
low,episode_000005,5,3,-1.8610297242800395,-0.8886961340904236,-2.9342305660247803,0.8381262553595237,0.0,1.0,negative/low-like,expected,-1.322372814764579
low,episode_000006,6,3,-1.7999478379885356,-0.9146934151649475,-2.8002266883850098,0.7740507715082791,0.0,1.0,negative/low-like,expected,-1.322372814764579
low,episode_000007,7,3,-1.8922961950302124,-0.9952187538146973,-2.8896031379699707,0.7766198183988337,0.0,1.0,negative/low-like,expected,-1.322372814764579
low,episode_000008,8,3,-1.8280338644981384,-0.9488288760185242,-2.7609822750091553,0.7407839324783164,0.0,1.0,negative/low-like,expected,-1.322372814764579
low,episode_000009,9,3,-1.8837215701738994,-0.9439471364021301,-2.894151210784912,0.7977334983668514,0.0,1.0,negative/low-like,expected,-1.322372814764579
