condition,episode,save_idx,path,nearest_condition,nearest_episode,nearest_save_idx,nearest_path,obs_distance,action_distance,same_condition,same_save_idx,obs_distance_rank_pct,action_distance_rank_pct,mismatch_score
low,episode_000002,0,debug_runs/20260529_112911_low/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,high,episode_000003,0,debug_runs/20260529_112158_high/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,12.417186737060547,0.7851793169975281,0,1,0.1456953642384106,0.8675496688741722,0.7411517038726372
baseline,episode_000000,0,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt,low,episode_000007,0,debug_runs/20260529_112911_low/episode_000007/debug_chunk_rawid_0_000_observation_frame.pt,17.322946548461914,1.0236057043075562,0,1,0.304635761589404,0.9602649006622517,0.6677338713214332
high,episode_000006,2,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_2_002_observation_frame.pt,high,episode_000009,2,debug_runs/20260529_112158_high/episode_000009/debug_chunk_rawid_2_002_observation_frame.pt,12.404951095581055,0.4433303475379944,1,1,0.1357615894039735,0.7649006622516556,0.661056532608219
high,episode_000009,2,debug_runs/20260529_112158_high/episode_000009/debug_chunk_rawid_2_002_observation_frame.pt,high,episode_000006,2,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_2_002_observation_frame.pt,12.404951095581055,0.4433303475379944,1,1,0.1357615894039735,0.7649006622516556,0.661056532608219
baseline,episode_000001,0,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt,high,episode_000003,0,debug_runs/20260529_112158_high/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,16.248828887939453,0.564936101436615,0,1,0.271523178807947,0.8344370860927153,0.6078680759615807
low,episode_000008,0,debug_runs/20260529_112911_low/episode_000008/debug_chunk_rawid_0_000_observation_frame.pt,baseline,episode_000009,0,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_0_000_observation_frame.pt,13.442749977111816,0.4317455589771271,0,1,0.17880794701986755,0.7350993377483444,0.6036577343098987
baseline,episode_000009,0,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_0_000_observation_frame.pt,baseline,episode_000006,0,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,11.644305229187012,0.3509434759616852,1,1,0.10927152317880795,0.6589403973509934,0.5869369764484014
baseline,episode_000006,0,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,baseline,episode_000009,0,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_0_000_observation_frame.pt,11.644305229187012,0.3509434759616852,1,1,0.10927152317880795,0.6589403973509934,0.5869369764484014
high,episode_000002,0,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,baseline,episode_000003,0,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,18.12997055053711,0.5779798030853271,0,1,0.31788079470198677,0.8410596026490066,0.5737029077672031
low,episode_000001,0,debug_runs/20260529_112911_low/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt,low,episode_000002,0,debug_runs/20260529_112911_low/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,12.559516906738281,0.30904462933540344,1,1,0.15894039735099338,0.609271523178808,0.5124336651901232
