condition,condition_root,episode,episode_idx,save_idx,raw_chunk_id,filename,path,metadata_intervention,task,has_action,num_action_dims,num_obs_dims
baseline,debug_runs/20260529_110106_baseline,episode_000000,0,0,0,debug_chunk_rawid_0_000_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000000,0,1,1,debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000000,0,2,2,debug_chunk_rawid_2_002_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000000,0,3,3,debug_chunk_rawid_3_003_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_3_003_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000000,0,4,4,debug_chunk_rawid_4_004_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_4_004_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000000,0,5,5,debug_chunk_rawid_5_005_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_5_005_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000001,1,0,0,debug_chunk_rawid_0_000_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000001,1,1,1,debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000001,1,2,2,debug_chunk_rawid_2_002_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000001,1,3,3,debug_chunk_rawid_3_003_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_3_003_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000001,1,4,4,debug_chunk_rawid_4_004_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_4_004_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000002,2,0,0,debug_chunk_rawid_0_000_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000002,2,1,1,debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000002,2,2,2,debug_chunk_rawid_2_002_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000002,2,3,3,debug_chunk_rawid_3_003_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_3_003_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000002,2,4,4,debug_chunk_rawid_4_004_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_4_004_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000003,3,0,0,debug_chunk_rawid_0_000_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000003,3,1,1,debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000003,3,2,2,debug_chunk_rawid_2_002_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000003,3,3,3,debug_chunk_rawid_3_003_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_3_003_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000003,3,4,4,debug_chunk_rawid_4_004_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_4_004_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000004,4,0,0,debug_chunk_rawid_0_000_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_0_000_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000004,4,1,1,debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000004,4,2,2,debug_chunk_rawid_2_002_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000004,4,3,3,debug_chunk_rawid_3_003_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000004,4,4,4,debug_chunk_rawid_4_004_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_4_004_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000005,5,0,0,debug_chunk_rawid_0_000_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_0_000_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000005,5,1,1,debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000005,5,2,2,debug_chunk_rawid_2_002_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000005,5,3,3,debug_chunk_rawid_3_003_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000005,5,4,4,debug_chunk_rawid_4_004_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_4_004_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
baseline,debug_runs/20260529_110106_baseline,episode_000006,6,0,0,debug_chunk_rawid_0_000_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,baseline,Put the red cube in the box.,True,6,2310
