condition,episode,episode_idx,num_focus_chunks,mean_high_low_projection_score,max_high_low_projection_score,min_high_low_projection_score,std_high_low_projection_score,high_like_frac,low_like_frac,expected_direction,instability_label,decision_midpoint
baseline,episode_000000,0,1,2.682157278060913,2.682157278060913,2.682157278060913,0.0,1.0,0.0,near middle,baseline,-0.43518708149592084
baseline,episode_000001,1,1,-1.2844963073730469,-1.2844963073730469,-1.2844963073730469,0.0,0.0,1.0,near middle,baseline,-0.43518708149592084
baseline,episode_000002,2,1,-1.9147350788116455,-1.9147350788116455,-1.9147350788116455,0.0,0.0,1.0,near middle,baseline,-0.43518708149592084
baseline,episode_000003,3,1,-1.2709698677062988,-1.2709698677062988,-1.2709698677062988,0.0,0.0,1.0,near middle,baseline,-0.43518708149592084
baseline,episode_000004,4,1,-1.839438796043396,-1.839438796043396,-1.839438796043396,0.0,0.0,1.0,near middle,baseline,-0.43518708149592084
baseline,episode_000005,5,1,-1.992734432220459,-1.992734432220459,-1.992734432220459,0.0,0.0,1.0,near middle,baseline,-0.43518708149592084
baseline,episode_000006,6,1,-1.5922682285308838,-1.5922682285308838,-1.5922682285308838,0.0,0.0,1.0,near middle,baseline,-0.43518708149592084
baseline,episode_000007,7,1,-1.9660476446151733,-1.9660476446151733,-1.9660476446151733,0.0,0.0,1.0,near middle,baseline,-0.43518708149592084
baseline,episode_000008,8,1,-1.9233262538909912,-1.9233262538909912,-1.9233262538909912,0.0,0.0,1.0,near middle,baseline,-0.43518708149592084
baseline,episode_000009,9,1,-1.182227373123169,-1.182227373123169,-1.182227373123169,0.0,0.0,1.0,near middle,baseline,-0.43518708149592084
high,episode_000000,0,1,-1.5897188186645508,-1.5897188186645508,-1.5897188186645508,0.0,0.0,1.0,positive/high-like,HIGH_RUN_LOOKS_LOW_LIKE,-0.43518708149592084
high,episode_000001,1,1,2.2489511966705322,2.2489511966705322,2.2489511966705322,0.0,1.0,0.0,positive/high-like,expected,-0.43518708149592084
high,episode_000002,2,1,2.214716911315918,2.214716911315918,2.214716911315918,0.0,1.0,0.0,positive/high-like,expected,-0.43518708149592084
high,episode_000004,4,1,-1.6192291975021362,-1.6192291975021362,-1.6192291975021362,0.0,0.0,1.0,positive/high-like,HIGH_RUN_LOOKS_LOW_LIKE,-0.43518708149592084
high,episode_000005,5,1,2.2894287109375,2.2894287109375,2.2894287109375,0.0,1.0,0.0,positive/high-like,expected,-0.43518708149592084
high,episode_000006,6,1,2.122025966644287,2.122025966644287,2.122025966644287,0.0,1.0,0.0,positive/high-like,expected,-0.43518708149592084
high,episode_000007,7,1,2.3413867950439453,2.3413867950439453,2.3413867950439453,0.0,1.0,0.0,positive/high-like,expected,-0.43518708149592084
high,episode_000008,8,1,-1.7414329051971436,-1.7414329051971436,-1.7414329051971436,0.0,0.0,1.0,positive/high-like,HIGH_RUN_LOOKS_LOW_LIKE,-0.43518708149592084
high,episode_000009,9,1,2.175435781478882,2.175435781478882,2.175435781478882,0.0,1.0,0.0,positive/high-like,expected,-0.43518708149592084
low,episode_000000,0,1,-1.8207604885101318,-1.8207604885101318,-1.8207604885101318,0.0,0.0,1.0,negative/low-like,expected,-0.43518708149592084
low,episode_000001,1,1,-1.9246257543563843,-1.9246257543563843,-1.9246257543563843,0.0,0.0,1.0,negative/low-like,expected,-0.43518708149592084
low,episode_000002,2,1,-1.7518292665481567,-1.7518292665481567,-1.7518292665481567,0.0,0.0,1.0,negative/low-like,expected,-0.43518708149592084
low,episode_000003,3,1,-1.899487018585205,-1.899487018585205,-1.899487018585205,0.0,0.0,1.0,negative/low-like,expected,-0.43518708149592084
low,episode_000004,4,1,-1.7816447019577026,-1.7816447019577026,-1.7816447019577026,0.0,0.0,1.0,negative/low-like,expected,-0.43518708149592084
low,episode_000005,5,1,-1.7034740447998047,-1.7034740447998047,-1.7034740447998047,0.0,0.0,1.0,negative/low-like,expected,-0.43518708149592084
low,episode_000006,6,1,-1.7813328504562378,-1.7813328504562378,-1.7813328504562378,0.0,0.0,1.0,negative/low-like,expected,-0.43518708149592084
low,episode_000007,7,1,-1.7292457818984985,-1.7292457818984985,-1.7292457818984985,0.0,0.0,1.0,negative/low-like,expected,-0.43518708149592084
low,episode_000008,8,1,-1.7339959144592285,-1.7339959144592285,-1.7339959144592285,0.0,0.0,1.0,negative/low-like,expected,-0.43518708149592084
low,episode_000009,9,1,-1.9568618535995483,-1.9568618535995483,-1.9568618535995483,0.0,0.0,1.0,negative/low-like,expected,-0.43518708149592084
