condition,episode,episode_idx,mean_height_action,sum_height_action,mean_abs_height_action,num_chunks
baseline,episode_000000,0,-12.688095092773438,-25.376190185546875,38.18486022949219,1
baseline,episode_000001,1,54.16371154785156,108.32742309570312,54.16371154785156,1
baseline,episode_000002,2,59.636329650878906,119.27265930175781,59.636329650878906,1
baseline,episode_000003,3,54.57823944091797,109.15647888183594,54.57823944091797,1
baseline,episode_000004,4,58.67529296875,117.3505859375,58.67529296875,1
baseline,episode_000005,5,59.70904541015625,119.4180908203125,59.70904541015625,1
baseline,episode_000006,6,57.25829315185547,114.51658630371094,57.25829315185547,1
baseline,episode_000007,7,59.19584274291992,118.39168548583984,59.19584274291992,1
baseline,episode_000008,8,59.142303466796875,118.28460693359375,59.142303466796875,1
baseline,episode_000009,9,52.628997802734375,105.25799560546875,52.628997802734375,1
high,episode_000000,0,54.20297622680664,108.40595245361328,54.20297622680664,1
high,episode_000001,1,-5.675045013427734,-11.350090026855469,42.29154586791992,1
high,episode_000002,2,-3.030597686767578,-6.061195373535156,43.8956184387207,1
high,episode_000004,4,54.387184143066406,108.77436828613281,54.387184143066406,1
high,episode_000005,5,-6.278280258178711,-12.556560516357422,43.61283874511719,1
high,episode_000006,6,-3.4019241333007812,-6.8038482666015625,43.70506286621094,1
high,episode_000007,7,-7.302698135375977,-14.605396270751953,43.832847595214844,1
high,episode_000008,8,54.787899017333984,109.57579803466797,54.787899017333984,1
high,episode_000009,9,-6.9882965087890625,-13.976593017578125,43.332679748535156,1
low,episode_000000,0,58.867103576660156,117.73420715332031,58.867103576660156,1
low,episode_000001,1,58.719322204589844,117.43864440917969,58.719322204589844,1
low,episode_000002,2,58.52552795410156,117.05105590820312,58.52552795410156,1
low,episode_000003,3,59.51214599609375,119.0242919921875,59.51214599609375,1
low,episode_000004,4,59.1536865234375,118.307373046875,59.1536865234375,1
low,episode_000005,5,58.869815826416016,117.73963165283203,58.869815826416016,1
low,episode_000006,6,59.12409973144531,118.24819946289062,59.12409973144531,1
low,episode_000007,7,58.570457458496094,117.14091491699219,58.570457458496094,1
low,episode_000008,8,58.469661712646484,116.93932342529297,58.469661712646484,1
low,episode_000009,9,59.22655487060547,118.45310974121094,59.22655487060547,1
