episode_idx,num_pred_points,num_actual_points,pred_source,actual_source,chunk_index,delay,actual_window,pred_max_fk_z_m,actual_max_fk_z_m,diff_max_m,diff_max_cm,pred_p95_fk_z_m,actual_p95_fk_z_m,diff_p95_cm,pred_top5_mean_fk_z_m,actual_top5_mean_fk_z_m,diff_top5_mean_cm
0,50,50,sent_action,observation_state,2,4,chunk,0.14593803902436986,0.13873681560576925,0.007201223418600605,0.7201223418600605,0.14461350569723014,0.13841968410913544,0.61938215880947,0.14511957313531812,0.13835198083330005,0.6767592302018066
1,50,50,sent_action,observation_state,2,4,chunk,0.14307039152003787,0.14226335380025915,0.0008070377197787193,0.08070377197787193,0.14181275940377144,0.14194872453588456,-0.01359651321131139,0.14219106160612124,0.14199936407149202,0.019169753462922046
2,50,50,sent_action,observation_state,2,4,chunk,0.14195079892228027,0.13830224263052204,0.003648556291758226,0.3648556291758226,0.14170666778451255,0.13714141704448352,0.4565250740029031,0.14173057200772027,0.1372725227583503,0.4458049249369961
3,50,50,sent_action,observation_state,2,4,chunk,0.14705447603067684,0.14622267545498363,0.000831800575693209,0.0831800575693209,0.14544685853383588,0.1461721834821174,-0.0725324948281536,0.14585971071546097,0.14609246183073687,-0.02327511152759032
4,50,50,sent_action,observation_state,2,4,chunk,0.1411986392238016,0.1368620047264594,0.004336634497342201,0.4336634497342201,0.14060585148339133,0.13662276677020593,0.39830847131853975,0.14073372060844333,0.13668300789151705,0.405071271692628
5,50,50,sent_action,observation_state,2,4,chunk,0.13800681576084672,0.13327192161806797,0.0047348941427787505,0.47348941427787505,0.13764414795210753,0.13267889513326317,0.4965252818844357,0.13768474313394327,0.1327488682080518,0.49358749258914814
6,50,50,sent_action,observation_state,2,4,chunk,0.1448343686794703,0.14076177858280872,0.0040725900966615824,0.40725900966615824,0.14447649367337978,0.14037549848611192,0.4100995187267864,0.14448318459914444,0.14043650194257812,0.4046682656566325
7,50,50,sent_action,observation_state,2,4,chunk,0.14291370429257133,0.13516614174279384,0.007747562549777487,0.7747562549777487,0.14185304044064123,0.13445028741199677,0.740275302864446,0.14216437561325715,0.13462621443378456,0.7538161179472591
8,50,50,sent_action,observation_state,2,4,chunk,0.14417243489880865,0.13938111227337407,0.00479132262543458,0.479132262543458,0.14347576016406471,0.13912557026352515,0.4350189900539564,0.1436820237670494,0.13914805368544575,0.4533970081603639
9,50,50,sent_action,observation_state,2,4,chunk,0.1417456427741437,0.13596736448093222,0.005778278293211481,0.5778278293211481,0.1405424717806403,0.1355852158491159,0.4957255931524407,0.14078967732480058,0.13562839297694745,0.5161284347853123
