condition,episode,episode_idx,save_idx,action_key,action_dim,action_value,path
baseline,episode_000000,0,0,action_values.0,0,-6.620351791381836,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000000,0,0,action_values.1,1,97.711669921875,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000000,0,0,action_values.2,2,16.122894287109375,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000000,0,0,action_values.3,3,-84.22257232666016,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000000,0,0,action_values.4,4,-2.9187865257263184,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000000,0,0,action_values.5,5,49.10148620605469,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000000,0,1,action_values.0,0,-8.629192352294922,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000000,0,1,action_values.1,1,35.99370574951172,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000000,0,1,action_values.2,2,-33.207149505615234,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000000,0,1,action_values.3,3,-93.63407135009766,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000000,0,1,action_values.4,4,-6.011069297790527,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000000,0,1,action_values.5,5,48.122337341308594,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000000,0,2,action_values.0,0,-9.344691276550293,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000000,0,2,action_values.1,1,42.41339874267578,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000000,0,2,action_values.2,2,-28.08868408203125,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000000,0,2,action_values.3,3,-73.75862121582031,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000000,0,2,action_values.4,4,-7.20125675201416,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000000,0,2,action_values.5,5,3.0983409881591797,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000000,0,3,action_values.0,0,8.788286209106445,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000000,0,3,action_values.1,1,59.33222961425781,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000000,0,3,action_values.2,2,-59.54231262207031,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000000,0,3,action_values.3,3,-79.17796325683594,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000000,0,3,action_values.4,4,4.486793518066406,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000000,0,3,action_values.5,5,3.9139537811279297,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000000,0,4,action_values.0,0,14.205181121826172,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000000,0,4,action_values.1,1,25.49676513671875,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000000,0,4,action_values.2,2,-50.872955322265625,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000000,0,4,action_values.3,3,-92.14111328125,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000000,0,4,action_values.4,4,12.26729965209961,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000000,0,4,action_values.5,5,41.55109405517578,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_4_004_observation_frame.pt
