condition,condition_root,episode,episode_idx,save_idx,raw_chunk_id,eef_z,path,filename,task,metadata_intervention,state_dim,num_action_dims,num_obs_dims,eef_z_start,eef_z_delta_from_start,eef_z_min,eef_z_max,eef_z_range,eef_z_norm_in_episode,peak_chunk,eef_height_phase
baseline,debug_runs/20260529_110106_baseline,episode_000000,0,0,0,0.013875018239753886,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt,debug_chunk_rawid_0_000_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.013875018239753886,0.0,0.013875018239753886,0.1323764836201829,0.11850146538042901,0.0,3,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000000,0,1,1,0.03197895790507366,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,debug_chunk_rawid_1_001_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.013875018239753886,0.01810393966531977,0.013875018239753886,0.1323764836201829,0.11850146538042901,0.1527739729394917,3,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000000,0,2,2,0.015263670040643343,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,debug_chunk_rawid_2_002_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.013875018239753886,0.0013886518008894566,0.013875018239753886,0.1323764836201829,0.11850146538042901,0.011718435687115123,3,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000000,0,3,3,0.1323764836201829,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_3_003_observation_frame.pt,debug_chunk_rawid_3_003_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.013875018239753886,0.11850146538042901,0.013875018239753886,0.1323764836201829,0.11850146538042901,1.0,3,near_peak
baseline,debug_runs/20260529_110106_baseline,episode_000000,0,4,4,0.056970388286832464,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_4_004_observation_frame.pt,debug_chunk_rawid_4_004_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.013875018239753886,0.04309537004707858,0.013875018239753886,0.1323764836201829,0.11850146538042901,0.3636695116699878,3,mid_height
baseline,debug_runs/20260529_110106_baseline,episode_000000,0,5,5,0.017989938678590806,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_5_005_observation_frame.pt,debug_chunk_rawid_5_005_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.013875018239753886,0.004114920438836919,0.013875018239753886,0.1323764836201829,0.11850146538042901,0.03472463758677295,3,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000001,1,0,0,0.01562577379019546,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt,debug_chunk_rawid_0_000_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.01562577379019546,0.0,0.010348275231714776,0.07761074791201247,0.0672624726802977,0.07846126299229186,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000001,1,1,1,0.010348275231714776,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,debug_chunk_rawid_1_001_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.01562577379019546,-0.005277498558480684,0.010348275231714776,0.07761074791201247,0.0672624726802977,0.0,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000001,1,2,2,0.07761074791201247,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,debug_chunk_rawid_2_002_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.01562577379019546,0.06198497412181701,0.010348275231714776,0.07761074791201247,0.0672624726802977,1.0,2,near_peak
baseline,debug_runs/20260529_110106_baseline,episode_000001,1,3,3,0.05806770219971424,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_3_003_observation_frame.pt,debug_chunk_rawid_3_003_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.01562577379019546,0.04244192840951878,0.010348275231714776,0.07761074791201247,0.0672624726802977,0.709450977141631,2,high_height
baseline,debug_runs/20260529_110106_baseline,episode_000001,1,4,4,0.031463717040537784,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_4_004_observation_frame.pt,debug_chunk_rawid_4_004_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.01562577379019546,0.015837943250342323,0.010348275231714776,0.07761074791201247,0.0672624726802977,0.31392604177943156,2,mid_height
