condition,episode,episode_idx,num_chunks,first_chunk,last_chunk,eef_z_start,eef_z_end,eef_z_min,eef_z_max,eef_z_range,eef_z_p90,peak_chunk,phase_sequence
baseline,episode_000000,0,6,0,5,0.013875018239753886,0.017989938678590806,0.013875018239753886,0.1323764836201829,0.11850146538042901,0.09467343595350768,3,low_height > low_height > low_height > near_peak > mid_height > low_height
baseline,episode_000001,1,5,0,4,0.01562577379019546,0.031463717040537784,0.010348275231714776,0.07761074791201247,0.0672624726802977,0.06979352962709318,2,low_height > low_height > near_peak > high_height > mid_height
baseline,episode_000002,2,5,0,4,0.015904886397472423,0.017171973527350018,0.015904886397472423,0.0651742049458813,0.04926931854840888,0.05988948505196567,2,low_height > low_height > near_peak > high_height > low_height
baseline,episode_000003,3,5,0,4,0.015992853182218103,0.030954843337414856,0.014162735585652161,0.07618057232341077,0.06201783673775861,0.06863844375366852,2,low_height > low_height > near_peak > high_height > mid_height
baseline,episode_000004,4,5,0,4,0.0160890430971294,0.017285718022251595,0.01070100659936403,0.07130805718662264,0.06060705058725861,0.06349141758777176,2,low_height > low_height > near_peak > high_height > low_height
baseline,episode_000005,5,5,0,4,0.016089066575134925,0.01689526429646765,0.012922036140476503,0.061059943953404715,0.04813790781292821,0.05587799715870806,2,low_height > low_height > near_peak > high_height > low_height
baseline,episode_000006,6,5,0,4,0.015904868558985513,0.025566550488377485,0.015904868558985513,0.05334765581516371,0.037442787256178195,0.051056657530415835,2,low_height > mid_height > near_peak > high_height > mid_height
baseline,episode_000007,7,5,0,4,0.01599283851454715,0.01711225369668866,0.009312376923436574,0.07125529742435897,0.0619429205009224,0.0626546167667046,2,low_height > low_height > near_peak > high_height > low_height
baseline,episode_000008,8,5,0,4,0.01599280916604104,0.01750350378879169,0.01599280916604104,0.059916553478630626,0.04392374431258959,0.055452303755296375,2,low_height > low_height > near_peak > high_height > low_height
baseline,episode_000009,9,5,0,4,0.015721313507345805,0.03730647980218417,0.008293611572567763,0.07778543239091226,0.0694918208183445,0.06946457337253949,2,low_height > low_height > near_peak > high_height > mid_height
high,episode_000000,0,5,0,4,0.014158514272451725,0.019786055144943485,0.009716758176325016,0.09097638895443269,0.08125963077810767,0.08165403737956495,2,low_height > low_height > near_peak > high_height > low_height
high,episode_000001,1,5,0,4,0.015992823842293585,0.06252537901538197,0.007195553532914387,0.10474202537730397,0.09754647184438958,0.09835925758628564,2,low_height > low_height > near_peak > high_height > high_height
high,episode_000002,2,5,0,4,0.015705141851468596,0.07531995496842123,0.006139939929006494,0.10457579273633269,0.0984358528073262,0.09492978047552086,2,low_height > low_height > near_peak > high_height > high_height
high,episode_000003,3,4,0,3,0.015609547102486479,0.05791663657022248,0.005950528071575936,0.07158760308163686,0.06563707501006093,0.06748631312821254,2,low_height > low_height > near_peak > high_height
high,episode_000004,4,5,0,4,0.015992838514547136,0.01865306852943023,0.008330541831449587,0.07887344831233473,0.07054290648088514,0.07312612526279275,2,low_height > low_height > near_peak > high_height > low_height
high,episode_000005,5,5,0,4,0.015705094891312374,0.07266307386008036,0.006371517327557752,0.11005045183422023,0.10367893450666248,0.09596612951298805,2,low_height > low_height > near_peak > high_height > high_height
high,episode_000006,6,5,0,4,0.01570509489131229,0.07280699312948177,0.007822462762910626,0.10936583204902864,0.10154336928611801,0.09849768411567648,2,low_height > low_height > near_peak > high_height > high_height
high,episode_000007,7,5,0,4,0.015617716538413401,0.0733410925027537,0.008607450359543425,0.10251846289148103,0.09391101253193761,0.0959846729755436,2,low_height > low_height > near_peak > high_height > high_height
high,episode_000008,8,5,0,4,0.016185463094568114,0.018336017596751422,0.0061969667794369715,0.07599556886890238,0.06979860208946541,0.06871486984224402,2,low_height > low_height > near_peak > high_height > low_height
high,episode_000009,9,6,0,5,0.015705094891312374,0.017497976367441076,0.006699773602834649,0.10827715725727435,0.1015773836544397,0.09306167692378936,2,low_height > low_height > near_peak > high_height > high_height > low_height
low,episode_000000,0,5,0,4,0.014901075721451287,0.018600829373966662,0.014901075721451287,0.061227668286057586,0.0463265925646063,0.05368831578966639,2,low_height > mid_height > near_peak > high_height > low_height
low,episode_000001,1,5,0,4,0.0159048328660929,0.017832729774952816,0.0159048328660929,0.05561973423298172,0.03971490136688882,0.051908028955617955,2,low_height > low_height > near_peak > high_height > low_height
low,episode_000002,2,5,0,4,0.015729100729455547,0.021357915079931164,0.015729100729455547,0.05895351151225895,0.0432244107828034,0.05395828559777212,2,low_height > low_height > near_peak > high_height > low_height
low,episode_000003,3,5,0,4,0.01638680060594433,0.01729265884527273,0.01638680060594433,0.057893852772143664,0.041507052166199335,0.05352600995780114,2,low_height > low_height > near_peak > high_height > low_height
low,episode_000004,4,5,0,4,0.01638680060594433,0.017699384715382252,0.012984005785546995,0.05953757334668602,0.04655356756113902,0.05249812042885066,2,low_height > low_height > near_peak > high_height > low_height
low,episode_000005,5,5,0,4,0.016112919082529334,0.01840597425049746,0.016112919082529334,0.05669614900471827,0.040583229922188935,0.05245400417036382,2,low_height > low_height > near_peak > high_height > low_height
low,episode_000006,6,5,0,4,0.0163058147983154,0.018194679706304076,0.0163058147983154,0.058801159247691276,0.042495344449375874,0.05335537495291263,2,low_height > low_height > near_peak > high_height > low_height
low,episode_000007,7,5,0,4,0.01601673294158408,0.01890018150888538,0.01601673294158408,0.05579792326218285,0.03978119032059877,0.05202418786645963,2,low_height > mid_height > near_peak > high_height > low_height
low,episode_000008,8,5,0,4,0.01637874012300619,0.018819993615901517,0.01637874012300619,0.05576861973746922,0.03938987961446303,0.051749970421917924,2,low_height > mid_height > near_peak > high_height > low_height
low,episode_000009,9,5,0,4,0.01649160620335076,0.017594521604396396,0.01649160620335076,0.04901145915196467,0.03251985294861391,0.04613471604050589,2,low_height > mid_height > near_peak > high_height > low_height
