condition,episode,save_idx,phase_target,eef_z,path,nearest_condition,nearest_episode,nearest_save_idx,nearest_eef_z,nearest_path,obs_distance,action_distance,same_condition,obs_distance_rank_pct,action_distance_rank_pct,mismatch_score
baseline,episode_000001,4,0.25,0.031463717040537784,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_4_004_observation_frame.pt,baseline,episode_000003,4,0.030954843337414856,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_4_004_observation_frame.pt,14.621543884277344,4.808608055114746,1,0.16666666666666666,0.9966666666666667,0.8305555555555556
baseline,episode_000003,4,0.25,0.030954843337414856,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_4_004_observation_frame.pt,baseline,episode_000001,4,0.031463717040537784,debug_runs/20260529_110106_baseline/episode_000001/debug_chunk_rawid_4_004_observation_frame.pt,14.621561050415039,4.808608055114746,1,0.17333333333333334,0.9966666666666667,0.8239111111111111
baseline,episode_000000,0,0.0,0.013875018239753886,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt,low,episode_000007,0,0.01601673294158408,debug_runs/20260529_112911_low/episode_000007/debug_chunk_rawid_0_000_observation_frame.pt,17.458438873291016,1.0394134521484375,0,0.22666666666666666,0.9466666666666667,0.7320888888888889
baseline,episode_000002,4,0.25,0.017171973527350018,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_4_004_observation_frame.pt,baseline,episode_000005,4,0.01689526429646765,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_4_004_observation_frame.pt,14.129043579101562,0.28056082129478455,1,0.14666666666666667,0.7666666666666667,0.6542222222222223
low,episode_000005,4,0.25,0.01840597425049746,debug_runs/20260529_112911_low/episode_000005/debug_chunk_rawid_4_004_observation_frame.pt,baseline,episode_000004,4,0.017285718022251595,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_4_004_observation_frame.pt,18.626665115356445,0.33856311440467834,0,0.26,0.82,0.6068
baseline,episode_000009,0,0.25,0.015721313507345805,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_0_000_observation_frame.pt,high,episode_000006,0,0.01570509489131229,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,19.250913619995117,0.48532700538635254,0,0.3,0.8666666666666667,0.6066666666666667
baseline,episode_000002,2,1.0,0.0651742049458813,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,baseline,episode_000004,2,0.07130805718662264,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,17.794954299926758,0.30151277780532837,1,0.23666666666666666,0.7833333333333333,0.5979444444444444
baseline,episode_000004,2,1.0,0.07130805718662264,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,baseline,episode_000002,2,0.0651742049458813,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,17.794954299926758,0.30151277780532837,1,0.23666666666666666,0.7833333333333333,0.5979444444444444
baseline,episode_000005,4,0.25,0.01689526429646765,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_4_004_observation_frame.pt,baseline,episode_000004,4,0.017285718022251595,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_4_004_observation_frame.pt,12.217021942138672,0.15877476334571838,1,0.07,0.5633333333333334,0.5239
baseline,episode_000004,4,0.25,0.017285718022251595,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_4_004_observation_frame.pt,baseline,episode_000005,4,0.01689526429646765,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_4_004_observation_frame.pt,12.217021942138672,0.15877476334571838,1,0.07,0.5633333333333334,0.5239
