episode_idx,episode_dir,predicted_summary_file,predicted_chunk_fk_eef_z_max_mean,predicted_chunk_fk_eef_z_max_std,predicted_chunk_fk_eef_z_max_range,actual_rollout_eef_z_max,actual_rollout_eef_z_min,actual_rollout_eef_z_range,actual_rollout_eef_z_argmax_chunk,actual_source,actual_num_points
0,episode_000000,analysis_sequence_chunk50_20260529_112158_high_10eps/episode_000000/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.278166943832026,0.0,0.0,0.09097638895443269,0.009716758176325016,0.08125963077810767,2,saved_chunks,5
1,episode_000001,analysis_sequence_chunk50_20260529_112158_high_10eps/episode_000001/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2783917782871765,0.0,0.0,0.10474202537730397,0.007195553532914387,0.09754647184438958,2,saved_chunks,5
2,episode_000002,analysis_sequence_chunk50_20260529_112158_high_10eps/episode_000002/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2767560400163677,0.0,0.0,0.10457579273633269,0.006139939929006494,0.0984358528073262,2,saved_chunks,5
3,episode_000003,analysis_sequence_chunk50_20260529_112158_high_10eps/episode_000003/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2762238587579276,5.551115123125783e-17,0.0,0.07158760308163686,0.005950528071575936,0.06563707501006093,2,saved_chunks,4
4,episode_000004,analysis_sequence_chunk50_20260529_112158_high_10eps/episode_000004/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2775724548543195,5.551115123125783e-17,0.0,0.07887344831233473,0.008330541831449587,0.07054290648088514,2,saved_chunks,5
5,episode_000005,analysis_sequence_chunk50_20260529_112158_high_10eps/episode_000005/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2822052633270803,0.0,0.0,0.11005045183422023,0.006371517327557752,0.10367893450666248,2,saved_chunks,5
6,episode_000006,analysis_sequence_chunk50_20260529_112158_high_10eps/episode_000006/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2778789112026545,0.0,0.0,0.10936583204902864,0.007822462762910626,0.10154336928611801,2,saved_chunks,5
7,episode_000007,analysis_sequence_chunk50_20260529_112158_high_10eps/episode_000007/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2794425739001781,5.551115123125783e-17,0.0,0.10251846289148103,0.008607450359543425,0.09391101253193761,2,saved_chunks,5
8,episode_000008,analysis_sequence_chunk50_20260529_112158_high_10eps/episode_000008/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2802536977115363,5.551115123125783e-17,0.0,0.07599556886890238,0.0061969667794369715,0.06979860208946541,2,saved_chunks,5
9,episode_000009,analysis_sequence_chunk50_20260529_112158_high_10eps/episode_000009/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2776550806061168,5.551115123125783e-17,0.0,0.10827715725727435,0.006699773602834649,0.1015773836544397,2,saved_chunks,6
