trial,chunk_steps,predicted_chunk_fk_eef_z_start,predicted_chunk_fk_eef_z_end,predicted_chunk_fk_eef_z_max,predicted_chunk_fk_eef_z_min,predicted_chunk_fk_eef_z_range,predicted_chunk_fk_eef_z_argmax_step,action_values.0_chunk_start,action_values.0_chunk_end,action_values.0_chunk_min,action_values.0_chunk_max,action_values.0_chunk_range,action_values.1_chunk_start,action_values.1_chunk_end,action_values.1_chunk_min,action_values.1_chunk_max,action_values.1_chunk_range,action_values.2_chunk_start,action_values.2_chunk_end,action_values.2_chunk_min,action_values.2_chunk_max,action_values.2_chunk_range,action_values.3_chunk_start,action_values.3_chunk_end,action_values.3_chunk_min,action_values.3_chunk_max,action_values.3_chunk_range,action_values.4_chunk_start,action_values.4_chunk_end,action_values.4_chunk_min,action_values.4_chunk_max,action_values.4_chunk_range,action_values.5_chunk_start,action_values.5_chunk_end,action_values.5_chunk_min,action_values.5_chunk_max,action_values.5_chunk_range
0,50,0.25812342996781756,0.23640446636719614,0.28025369771153635,0.23640446636719614,0.04384923134434021,12,-14.75788688659668,-9.269746780395508,-18.338266372680664,-8.858328819274902,9.479937553405762,82.18299865722656,33.74421691894531,33.74421691894531,82.18299865722656,48.43878173828125,-3.356821060180664,-20.57143783569336,-34.9069938659668,-1.8504886627197266,33.05650520324707,-90.30905151367188,-86.73694610595703,-109.48112487792969,-86.73694610595703,22.744178771972656,-6.926100730895996,-6.2571611404418945,-7.547163963317871,-3.7823727130889893,3.764791250228882,65.01207733154297,48.56692123413086,48.56692123413086,87.60931396484375,39.04239273071289
1,50,0.25812342996781756,0.23640446636719614,0.28025369771153635,0.23640446636719614,0.04384923134434021,12,-14.75788688659668,-9.269746780395508,-18.338266372680664,-8.858328819274902,9.479937553405762,82.18299865722656,33.74421691894531,33.74421691894531,82.18299865722656,48.43878173828125,-3.356821060180664,-20.57143783569336,-34.9069938659668,-1.8504886627197266,33.05650520324707,-90.30905151367188,-86.73694610595703,-109.48112487792969,-86.73694610595703,22.744178771972656,-6.926100730895996,-6.2571611404418945,-7.547163963317871,-3.7823727130889893,3.764791250228882,65.01207733154297,48.56692123413086,48.56692123413086,87.60931396484375,39.04239273071289
2,50,0.25812342996781756,0.23640446636719614,0.28025369771153635,0.23640446636719614,0.04384923134434021,12,-14.75788688659668,-9.269746780395508,-18.338266372680664,-8.858328819274902,9.479937553405762,82.18299865722656,33.74421691894531,33.74421691894531,82.18299865722656,48.43878173828125,-3.356821060180664,-20.57143783569336,-34.9069938659668,-1.8504886627197266,33.05650520324707,-90.30905151367188,-86.73694610595703,-109.48112487792969,-86.73694610595703,22.744178771972656,-6.926100730895996,-6.2571611404418945,-7.547163963317871,-3.7823727130889893,3.764791250228882,65.01207733154297,48.56692123413086,48.56692123413086,87.60931396484375,39.04239273071289
3,50,0.25812342996781756,0.23640446636719614,0.28025369771153635,0.23640446636719614,0.04384923134434021,12,-14.75788688659668,-9.269746780395508,-18.338266372680664,-8.858328819274902,9.479937553405762,82.18299865722656,33.74421691894531,33.74421691894531,82.18299865722656,48.43878173828125,-3.356821060180664,-20.57143783569336,-34.9069938659668,-1.8504886627197266,33.05650520324707,-90.30905151367188,-86.73694610595703,-109.48112487792969,-86.73694610595703,22.744178771972656,-6.926100730895996,-6.2571611404418945,-7.547163963317871,-3.7823727130889893,3.764791250228882,65.01207733154297,48.56692123413086,48.56692123413086,87.60931396484375,39.04239273071289
4,50,0.25812342996781756,0.23640446636719614,0.28025369771153635,0.23640446636719614,0.04384923134434021,12,-14.75788688659668,-9.269746780395508,-18.338266372680664,-8.858328819274902,9.479937553405762,82.18299865722656,33.74421691894531,33.74421691894531,82.18299865722656,48.43878173828125,-3.356821060180664,-20.57143783569336,-34.9069938659668,-1.8504886627197266,33.05650520324707,-90.30905151367188,-86.73694610595703,-109.48112487792969,-86.73694610595703,22.744178771972656,-6.926100730895996,-6.2571611404418945,-7.547163963317871,-3.7823727130889893,3.764791250228882,65.01207733154297,48.56692123413086,48.56692123413086,87.60931396484375,39.04239273071289
5,50,0.25812342996781756,0.23640446636719614,0.28025369771153635,0.23640446636719614,0.04384923134434021,12,-14.75788688659668,-9.269746780395508,-18.338266372680664,-8.858328819274902,9.479937553405762,82.18299865722656,33.74421691894531,33.74421691894531,82.18299865722656,48.43878173828125,-3.356821060180664,-20.57143783569336,-34.9069938659668,-1.8504886627197266,33.05650520324707,-90.30905151367188,-86.73694610595703,-109.48112487792969,-86.73694610595703,22.744178771972656,-6.926100730895996,-6.2571611404418945,-7.547163963317871,-3.7823727130889893,3.764791250228882,65.01207733154297,48.56692123413086,48.56692123413086,87.60931396484375,39.04239273071289
6,50,0.25812342996781756,0.23640446636719614,0.28025369771153635,0.23640446636719614,0.04384923134434021,12,-14.75788688659668,-9.269746780395508,-18.338266372680664,-8.858328819274902,9.479937553405762,82.18299865722656,33.74421691894531,33.74421691894531,82.18299865722656,48.43878173828125,-3.356821060180664,-20.57143783569336,-34.9069938659668,-1.8504886627197266,33.05650520324707,-90.30905151367188,-86.73694610595703,-109.48112487792969,-86.73694610595703,22.744178771972656,-6.926100730895996,-6.2571611404418945,-7.547163963317871,-3.7823727130889893,3.764791250228882,65.01207733154297,48.56692123413086,48.56692123413086,87.60931396484375,39.04239273071289
7,50,0.25812342996781756,0.23640446636719614,0.28025369771153635,0.23640446636719614,0.04384923134434021,12,-14.75788688659668,-9.269746780395508,-18.338266372680664,-8.858328819274902,9.479937553405762,82.18299865722656,33.74421691894531,33.74421691894531,82.18299865722656,48.43878173828125,-3.356821060180664,-20.57143783569336,-34.9069938659668,-1.8504886627197266,33.05650520324707,-90.30905151367188,-86.73694610595703,-109.48112487792969,-86.73694610595703,22.744178771972656,-6.926100730895996,-6.2571611404418945,-7.547163963317871,-3.7823727130889893,3.764791250228882,65.01207733154297,48.56692123413086,48.56692123413086,87.60931396484375,39.04239273071289
8,50,0.25812342996781756,0.23640446636719614,0.28025369771153635,0.23640446636719614,0.04384923134434021,12,-14.75788688659668,-9.269746780395508,-18.338266372680664,-8.858328819274902,9.479937553405762,82.18299865722656,33.74421691894531,33.74421691894531,82.18299865722656,48.43878173828125,-3.356821060180664,-20.57143783569336,-34.9069938659668,-1.8504886627197266,33.05650520324707,-90.30905151367188,-86.73694610595703,-109.48112487792969,-86.73694610595703,22.744178771972656,-6.926100730895996,-6.2571611404418945,-7.547163963317871,-3.7823727130889893,3.764791250228882,65.01207733154297,48.56692123413086,48.56692123413086,87.60931396484375,39.04239273071289
9,50,0.25812342996781756,0.23640446636719614,0.28025369771153635,0.23640446636719614,0.04384923134434021,12,-14.75788688659668,-9.269746780395508,-18.338266372680664,-8.858328819274902,9.479937553405762,82.18299865722656,33.74421691894531,33.74421691894531,82.18299865722656,48.43878173828125,-3.356821060180664,-20.57143783569336,-34.9069938659668,-1.8504886627197266,33.05650520324707,-90.30905151367188,-86.73694610595703,-109.48112487792969,-86.73694610595703,22.744178771972656,-6.926100730895996,-6.2571611404418945,-7.547163963317871,-3.7823727130889893,3.764791250228882,65.01207733154297,48.56692123413086,48.56692123413086,87.60931396484375,39.04239273071289
