episode_idx,episode_dir,predicted_summary_file,predicted_chunk_fk_eef_z_max_mean,predicted_chunk_fk_eef_z_max_std,predicted_chunk_fk_eef_z_max_range,actual_rollout_eef_z_max,actual_rollout_eef_z_min,actual_rollout_eef_z_range,actual_source,actual_num_points
0,episode_000000,analysis_sequence_chunk50_20260602_174247_high_new_10eps/episode_000000/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.271729427617119,0.0,0.0,0.2850507868797246,0.22087785944746227,0.06417292743226236,action_trace_hybrid_wrist,245
1,episode_000001,analysis_sequence_chunk50_20260602_174247_high_new_10eps/episode_000001/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2723291765311487,0.0,0.0,0.2874142953734796,0.22095633243021212,0.0664579629432675,action_trace_hybrid_wrist,251
2,episode_000002,analysis_sequence_chunk50_20260602_174247_high_new_10eps/episode_000002/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2722770568792624,0.0,0.0,0.28291372211231947,0.2211203082775378,0.06179341383478165,action_trace_hybrid_wrist,243
3,episode_000003,analysis_sequence_chunk50_20260602_174247_high_new_10eps/episode_000003/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2726502700430521,5.551115123125783e-17,0.0,0.2849485286726253,0.221082603712065,0.06386592496056032,action_trace_hybrid_wrist,249
4,episode_000004,analysis_sequence_chunk50_20260602_174247_high_new_10eps/episode_000004/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2742152718392468,5.551115123125783e-17,0.0,0.28562257545358466,0.22159856268870198,0.06402401276488268,action_trace_hybrid_wrist,242
5,episode_000005,analysis_sequence_chunk50_20260602_174247_high_new_10eps/episode_000005/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2766606836936919,0.0,0.0,0.2883867027403351,0.220752112934965,0.06763458980537013,action_trace_hybrid_wrist,251
6,episode_000006,analysis_sequence_chunk50_20260602_174247_high_new_10eps/episode_000006/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2742076471716132,0.0,0.0,0.2845524604634051,0.2210983649554045,0.0634540955080006,action_trace_hybrid_wrist,245
7,episode_000007,analysis_sequence_chunk50_20260602_174247_high_new_10eps/episode_000007/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2719390488830983,5.551115123125783e-17,0.0,0.28696436571875666,0.22127515443579998,0.06568921128295668,action_trace_hybrid_wrist,242
8,episode_000008,analysis_sequence_chunk50_20260602_174247_high_new_10eps/episode_000008/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2698958461726821,0.0,0.0,0.2887238449664802,0.22165246370483016,0.06707138126165002,action_trace_hybrid_wrist,250
9,episode_000009,analysis_sequence_chunk50_20260602_174247_high_new_10eps/episode_000009/sequence_exact_predicted_action_chunk_max_fk_eef_z_summary.csv,0.2756524623222435,5.551115123125783e-17,0.0,0.2830270177630232,0.22154289056428317,0.061484127198740024,action_trace_hybrid_wrist,248
