trial,seq_pos,is_decision_step,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
0,0,False,-11.499789237976074,87.30167388916016,2.7402172088623047,-88.17987060546875,-5.401676177978516,59.06637954711914,0.2519985562694955
0,1,True,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
1,0,False,-11.499789237976074,87.30167388916016,2.7402172088623047,-88.17987060546875,-5.401676177978516,59.06637954711914,0.2519985562694955
1,1,True,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
2,0,False,-11.499789237976074,87.30167388916016,2.7402172088623047,-88.17987060546875,-5.401676177978516,59.06637954711914,0.2519985562694955
2,1,True,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
3,0,False,-11.499789237976074,87.30167388916016,2.7402172088623047,-88.17987060546875,-5.401676177978516,59.06637954711914,0.2519985562694955
3,1,True,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
4,0,False,-11.499789237976074,87.30167388916016,2.7402172088623047,-88.17987060546875,-5.401676177978516,59.06637954711914,0.2519985562694955
4,1,True,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
5,0,False,-11.499789237976074,87.30167388916016,2.7402172088623047,-88.17987060546875,-5.401676177978516,59.06637954711914,0.2519985562694955
5,1,True,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
6,0,False,-11.499789237976074,87.30167388916016,2.7402172088623047,-88.17987060546875,-5.401676177978516,59.06637954711914,0.2519985562694955
6,1,True,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
7,0,False,-11.499789237976074,87.30167388916016,2.7402172088623047,-88.17987060546875,-5.401676177978516,59.06637954711914,0.2519985562694955
7,1,True,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
8,0,False,-11.499789237976074,87.30167388916016,2.7402172088623047,-88.17987060546875,-5.401676177978516,59.06637954711914,0.2519985562694955
8,1,True,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
9,0,False,-11.499789237976074,87.30167388916016,2.7402172088623047,-88.17987060546875,-5.401676177978516,59.06637954711914,0.2519985562694955
9,1,True,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
