trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
0,True,1,1,1,debug_runs/20260602_174247_high_new/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
1,True,1,1,1,debug_runs/20260602_174247_high_new/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
2,True,1,1,1,debug_runs/20260602_174247_high_new/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
3,True,1,1,1,debug_runs/20260602_174247_high_new/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
4,True,1,1,1,debug_runs/20260602_174247_high_new/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
5,True,1,1,1,debug_runs/20260602_174247_high_new/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
6,True,1,1,1,debug_runs/20260602_174247_high_new/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
7,True,1,1,1,debug_runs/20260602_174247_high_new/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
8,True,1,1,1,debug_runs/20260602_174247_high_new/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
9,True,1,1,1,debug_runs/20260602_174247_high_new/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-11.760202407836914,84.40924835205078,0.5546360015869141,-89.23826599121094,-5.482962608337402,60.59587860107422,0.2533543611824789
