delay,normalized_rmse,mean_corr
0,0.22187394719514156,0.9715015132749654
1,0.17837842407317211,0.9806530599497117
2,0.13414312712010074,0.987861328208222
3,0.10021429329787641,0.9925661333453849
4,0.09502513123889222,0.9945510694655045
5,0.10695178604093276,0.9938051700485302
6,0.13368257669130199,0.9903453936629969
7,0.1698664650946093,0.9843187981764968
8,0.21040430565733703,0.9759157458950997
9,0.25256944824735966,0.9652640976653603
10,0.29501039618943736,0.9524821323234317
11,0.33693975712839375,0.9377014534309083
12,0.3779469652609203,0.921067018948972
13,0.41785378076796154,0.902680392142025
14,0.4565596500350958,0.8826181156115436
15,0.49394119912541967,0.8610064419769117
16,0.5298541063071655,0.8379925494694372
17,0.564202587105972,0.813736301948534
18,0.5969060573724461,0.7884146019723174
19,0.6279589385008356,0.762130948391351
20,0.6573723138466955,0.7349947124008056
