trial,chunk_steps,predicted_chunk_fk_eef_z_start,predicted_chunk_fk_eef_z_end,predicted_chunk_fk_eef_z_max,predicted_chunk_fk_eef_z_min,predicted_chunk_fk_eef_z_range,predicted_chunk_fk_eef_z_argmax_step,action_values.0_chunk_start,action_values.0_chunk_end,action_values.0_chunk_min,action_values.0_chunk_max,action_values.0_chunk_range,action_values.1_chunk_start,action_values.1_chunk_end,action_values.1_chunk_min,action_values.1_chunk_max,action_values.1_chunk_range,action_values.2_chunk_start,action_values.2_chunk_end,action_values.2_chunk_min,action_values.2_chunk_max,action_values.2_chunk_range,action_values.3_chunk_start,action_values.3_chunk_end,action_values.3_chunk_min,action_values.3_chunk_max,action_values.3_chunk_range,action_values.4_chunk_start,action_values.4_chunk_end,action_values.4_chunk_min,action_values.4_chunk_max,action_values.4_chunk_range,action_values.5_chunk_start,action_values.5_chunk_end,action_values.5_chunk_min,action_values.5_chunk_max,action_values.5_chunk_range
0,50,0.2503479084685353,0.23339257927020426,0.26942317928485715,0.23339257927020426,0.036030600014652886,11,-8.922499656677246,-8.009121894836426,-13.148618698120117,-4.154155254364014,8.994463443756104,81.23582458496094,34.489418029785156,34.489418029785156,81.23582458496094,46.74640655517578,0.7102222442626953,-18.308570861816406,-27.96954345703125,1.7548351287841797,29.72437858581543,-89.3306655883789,-86.67301940917969,-106.22344970703125,-86.67301940917969,19.550430297851562,-5.209644317626953,-5.90462064743042,-5.945039749145508,-3.021554708480835,2.923485040664673,56.20735168457031,45.73468780517578,42.58725357055664,69.9229965209961,27.335742950439453
1,50,0.2503479084685353,0.23339257927020426,0.26942317928485715,0.23339257927020426,0.036030600014652886,11,-8.922499656677246,-8.009121894836426,-13.148618698120117,-4.154155254364014,8.994463443756104,81.23582458496094,34.489418029785156,34.489418029785156,81.23582458496094,46.74640655517578,0.7102222442626953,-18.308570861816406,-27.96954345703125,1.7548351287841797,29.72437858581543,-89.3306655883789,-86.67301940917969,-106.22344970703125,-86.67301940917969,19.550430297851562,-5.209644317626953,-5.90462064743042,-5.945039749145508,-3.021554708480835,2.923485040664673,56.20735168457031,45.73468780517578,42.58725357055664,69.9229965209961,27.335742950439453
2,50,0.2503479084685353,0.23339257927020426,0.26942317928485715,0.23339257927020426,0.036030600014652886,11,-8.922499656677246,-8.009121894836426,-13.148618698120117,-4.154155254364014,8.994463443756104,81.23582458496094,34.489418029785156,34.489418029785156,81.23582458496094,46.74640655517578,0.7102222442626953,-18.308570861816406,-27.96954345703125,1.7548351287841797,29.72437858581543,-89.3306655883789,-86.67301940917969,-106.22344970703125,-86.67301940917969,19.550430297851562,-5.209644317626953,-5.90462064743042,-5.945039749145508,-3.021554708480835,2.923485040664673,56.20735168457031,45.73468780517578,42.58725357055664,69.9229965209961,27.335742950439453
3,50,0.2503479084685353,0.23339257927020426,0.26942317928485715,0.23339257927020426,0.036030600014652886,11,-8.922499656677246,-8.009121894836426,-13.148618698120117,-4.154155254364014,8.994463443756104,81.23582458496094,34.489418029785156,34.489418029785156,81.23582458496094,46.74640655517578,0.7102222442626953,-18.308570861816406,-27.96954345703125,1.7548351287841797,29.72437858581543,-89.3306655883789,-86.67301940917969,-106.22344970703125,-86.67301940917969,19.550430297851562,-5.209644317626953,-5.90462064743042,-5.945039749145508,-3.021554708480835,2.923485040664673,56.20735168457031,45.73468780517578,42.58725357055664,69.9229965209961,27.335742950439453
4,50,0.2503479084685353,0.23339257927020426,0.26942317928485715,0.23339257927020426,0.036030600014652886,11,-8.922499656677246,-8.009121894836426,-13.148618698120117,-4.154155254364014,8.994463443756104,81.23582458496094,34.489418029785156,34.489418029785156,81.23582458496094,46.74640655517578,0.7102222442626953,-18.308570861816406,-27.96954345703125,1.7548351287841797,29.72437858581543,-89.3306655883789,-86.67301940917969,-106.22344970703125,-86.67301940917969,19.550430297851562,-5.209644317626953,-5.90462064743042,-5.945039749145508,-3.021554708480835,2.923485040664673,56.20735168457031,45.73468780517578,42.58725357055664,69.9229965209961,27.335742950439453
5,50,0.2503479084685353,0.23339257927020426,0.26942317928485715,0.23339257927020426,0.036030600014652886,11,-8.922499656677246,-8.009121894836426,-13.148618698120117,-4.154155254364014,8.994463443756104,81.23582458496094,34.489418029785156,34.489418029785156,81.23582458496094,46.74640655517578,0.7102222442626953,-18.308570861816406,-27.96954345703125,1.7548351287841797,29.72437858581543,-89.3306655883789,-86.67301940917969,-106.22344970703125,-86.67301940917969,19.550430297851562,-5.209644317626953,-5.90462064743042,-5.945039749145508,-3.021554708480835,2.923485040664673,56.20735168457031,45.73468780517578,42.58725357055664,69.9229965209961,27.335742950439453
6,50,0.2503479084685353,0.23339257927020426,0.26942317928485715,0.23339257927020426,0.036030600014652886,11,-8.922499656677246,-8.009121894836426,-13.148618698120117,-4.154155254364014,8.994463443756104,81.23582458496094,34.489418029785156,34.489418029785156,81.23582458496094,46.74640655517578,0.7102222442626953,-18.308570861816406,-27.96954345703125,1.7548351287841797,29.72437858581543,-89.3306655883789,-86.67301940917969,-106.22344970703125,-86.67301940917969,19.550430297851562,-5.209644317626953,-5.90462064743042,-5.945039749145508,-3.021554708480835,2.923485040664673,56.20735168457031,45.73468780517578,42.58725357055664,69.9229965209961,27.335742950439453
7,50,0.2503479084685353,0.23339257927020426,0.26942317928485715,0.23339257927020426,0.036030600014652886,11,-8.922499656677246,-8.009121894836426,-13.148618698120117,-4.154155254364014,8.994463443756104,81.23582458496094,34.489418029785156,34.489418029785156,81.23582458496094,46.74640655517578,0.7102222442626953,-18.308570861816406,-27.96954345703125,1.7548351287841797,29.72437858581543,-89.3306655883789,-86.67301940917969,-106.22344970703125,-86.67301940917969,19.550430297851562,-5.209644317626953,-5.90462064743042,-5.945039749145508,-3.021554708480835,2.923485040664673,56.20735168457031,45.73468780517578,42.58725357055664,69.9229965209961,27.335742950439453
8,50,0.2503479084685353,0.23339257927020426,0.26942317928485715,0.23339257927020426,0.036030600014652886,11,-8.922499656677246,-8.009121894836426,-13.148618698120117,-4.154155254364014,8.994463443756104,81.23582458496094,34.489418029785156,34.489418029785156,81.23582458496094,46.74640655517578,0.7102222442626953,-18.308570861816406,-27.96954345703125,1.7548351287841797,29.72437858581543,-89.3306655883789,-86.67301940917969,-106.22344970703125,-86.67301940917969,19.550430297851562,-5.209644317626953,-5.90462064743042,-5.945039749145508,-3.021554708480835,2.923485040664673,56.20735168457031,45.73468780517578,42.58725357055664,69.9229965209961,27.335742950439453
9,50,0.2503479084685353,0.23339257927020426,0.26942317928485715,0.23339257927020426,0.036030600014652886,11,-8.922499656677246,-8.009121894836426,-13.148618698120117,-4.154155254364014,8.994463443756104,81.23582458496094,34.489418029785156,34.489418029785156,81.23582458496094,46.74640655517578,0.7102222442626953,-18.308570861816406,-27.96954345703125,1.7548351287841797,29.72437858581543,-89.3306655883789,-86.67301940917969,-106.22344970703125,-86.67301940917969,19.550430297851562,-5.209644317626953,-5.90462064743042,-5.945039749145508,-3.021554708480835,2.923485040664673,56.20735168457031,45.73468780517578,42.58725357055664,69.9229965209961,27.335742950439453
