trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
0,True,1,1,1,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-9.091296195983887,84.32584381103516,0.7728347778320312,-89.88243103027344,-4.985431671142578,60.38507843017578,0.2529098661592008
1,True,1,1,1,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-9.091296195983887,84.32584381103516,0.7728347778320312,-89.88243103027344,-4.985431671142578,60.38507843017578,0.2529098661592008
2,True,1,1,1,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-9.091296195983887,84.32584381103516,0.7728347778320312,-89.88243103027344,-4.985431671142578,60.38507843017578,0.2529098661592008
3,True,1,1,1,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-9.091296195983887,84.32584381103516,0.7728347778320312,-89.88243103027344,-4.985431671142578,60.38507843017578,0.2529098661592008
4,True,1,1,1,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-9.091296195983887,84.32584381103516,0.7728347778320312,-89.88243103027344,-4.985431671142578,60.38507843017578,0.2529098661592008
5,True,1,1,1,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-9.091296195983887,84.32584381103516,0.7728347778320312,-89.88243103027344,-4.985431671142578,60.38507843017578,0.2529098661592008
6,True,1,1,1,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-9.091296195983887,84.32584381103516,0.7728347778320312,-89.88243103027344,-4.985431671142578,60.38507843017578,0.2529098661592008
7,True,1,1,1,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-9.091296195983887,84.32584381103516,0.7728347778320312,-89.88243103027344,-4.985431671142578,60.38507843017578,0.2529098661592008
8,True,1,1,1,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-9.091296195983887,84.32584381103516,0.7728347778320312,-89.88243103027344,-4.985431671142578,60.38507843017578,0.2529098661592008
9,True,1,1,1,debug_runs/20260603_164150_HIGH_current/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,-9.091296195983887,84.32584381103516,0.7728347778320312,-89.88243103027344,-4.985431671142578,60.38507843017578,0.2529098661592008
