episode_idx,raw_predicted_max_fk_eef_z,raw_predicted_max_fk_eef_z_std,raw_predicted_max_fk_eef_z_range,predicted_layout_x,actual_obs_max_fk_eef_z,actual_obs_min_fk_eef_z,actual_obs_range_fk_eef_z,actual_obs_num_points,actual_obs_chunk_index,actual_obs_delay,mapped_predicted_max_fk_eef_z_mean,mapped_predicted_max_fk_eef_z_std,mapped_predicted_max_fk_eef_z_range,mapped_predicted_num_trials,mapped_predicted_source,predicted_layout_y,delay,sent_raw_max_fk_eef_z,sent_mapped_max_fk_eef_z,obs_delay_aligned_max_fk_eef_z,sent_raw_minus_obs_max,sent_mapped_minus_obs_max,num_points
0,0.3013832539419018,5.551115123125783e-17,0.0,root_single_sequence,0.13605360140655126,0.07825624673270937,0.057797354673841894,50,2,4,0.15451466638107406,2.7755575615628914e-17,0.0,10.0,analysis_sequence_chunk50_20260603_164150_HIGH_current_chunk2_replay/sequence_exact_predicted_action_chunk_trials.csv,root_single_sequence,4,0.2898250736210189,0.13951597840419752,0.13605360140655126,0.15377147221446763,0.0034623769976462604,235
1,,,,,0.13718182378752553,0.0769687538708877,0.06021306991663783,50,2,4,,,,,,,4,0.2886063126942995,0.14113086721175622,0.13718182378752553,0.15142448890677396,0.0039490434242306915,234
2,,,,,0.13664707428035464,0.07781271555841326,0.05883435872194137,50,2,4,,,,,,,4,0.28961979900786206,0.1394192288871996,0.13664707428035464,0.15297272472750742,0.002772154606844962,235
3,,,,,0.1387952791209047,0.07893166921935904,0.059863609901545656,50,2,4,,,,,,,4,0.29389808951090074,0.14017230731469524,0.1387952791209047,0.15510281038999604,0.0013770281937905415,247
4,,,,,0.1300316770782796,0.08104150185100249,0.0489901752272771,50,2,4,,,,,,,4,0.2895365517403802,0.13425523685397,0.1300316770782796,0.1595048746621006,0.004223559775690416,235
5,,,,,0.12914719871139232,0.07043446378484816,0.05871273492654416,50,2,4,,,,,,,4,0.287936592662088,0.12996368079471726,0.12914719871139232,0.15878939395069566,0.0008164820833249375,231
6,,,,,0.13539959103470542,0.08087867380467073,0.05452091723003469,50,2,4,,,,,,,4,0.2884730667580502,0.13722791887575406,0.13539959103470542,0.15307347572334476,0.001828327841048638,231
7,,,,,0.1311306599564246,0.0724641863503083,0.05866647360611629,50,2,4,,,,,,,4,0.2896141383744144,0.1262381000748572,0.1311306599564246,0.15848347841798982,-0.004892559881567393,227
8,,,,,0.13081833124087955,0.0757663750124131,0.05505195622846645,50,2,4,,,,,,,4,0.29087121679413447,0.13437687825766656,0.13081833124087955,0.16005288555325492,0.0035585470167870115,228
9,,,,,0.13480515426178252,0.0723132938155685,0.06249186044621402,50,2,4,,,,,,,4,0.29103621333334173,0.1388162319194807,0.13480515426178252,0.1562310590715592,0.0040110776576981755,230
