episode_idx,decision_seq_pos,decision_chunk_idx,num_repeats,lift_eef_z,task,action_values.0,action_values.0_repeat_std,action_values.0_repeat_range,action_values.1,action_values.1_repeat_std,action_values.1_repeat_range,action_values.2,action_values.2_repeat_std,action_values.2_repeat_range,action_values.3,action_values.3_repeat_std,action_values.3_repeat_range,action_values.4,action_values.4_repeat_std,action_values.4_repeat_range,action_values.5,action_values.5_repeat_std,action_values.5_repeat_range,predicted_action_eef_z,predicted_action_eef_z_repeat_std,predicted_action_eef_z_repeat_range
0,0,2,10,0.11240860030008525,Put the red cube in the box.,-7.950786590576172,0.0,0.0,68.23292541503906,0.0,0.0,-62.336570739746094,0.0,0.0,-88.29869842529297,0.0,0.0,-3.8932933807373047,0.0,0.0,15.549566268920898,0.0,0.0,0.2937114596636051,0.0,0.0
1,0,2,10,0.10518936019702105,Put the red cube in the box.,-7.507783889770508,0.0,0.0,63.82855224609375,0.0,0.0,-65.3594970703125,0.0,0.0,-88.18962097167969,0.0,0.0,-4.03447961807251,0.0,0.0,15.751361846923828,0.0,0.0,0.2926778647271805,5.551115123125783e-17,0.0
2,0,2,10,0.11070809940364347,Put the red cube in the box.,-6.956028938293457,0.0,0.0,68.93701934814453,0.0,0.0,-62.339962005615234,0.0,0.0,-87.88579559326172,0.0,0.0,-3.7845470905303955,0.0,0.0,15.781299591064453,0.0,0.0,0.29303538374626487,5.551115123125783e-17,0.0
3,0,2,10,0.10342027778327567,Put the red cube in the box.,-7.166062355041504,0.0,0.0,69.9896240234375,0.0,0.0,-56.62827682495117,0.0,0.0,-88.21895599365234,0.0,0.0,-2.8018312454223633,0.0,0.0,15.674907684326172,0.0,0.0,0.2947594748408974,0.0,0.0
4,0,2,10,0.09965576625640002,Put the red cube in the box.,-8.171819686889648,0.0,0.0,69.60887908935547,0.0,0.0,-53.91447067260742,0.0,0.0,-87.77435302734375,0.0,0.0,-3.5203986167907715,0.0,0.0,14.656940460205078,0.0,0.0,0.2941659461957339,5.551115123125783e-17,0.0
5,0,2,10,0.1188340476040145,Put the red cube in the box.,-5.9082536697387695,0.0,0.0,67.08221435546875,0.0,0.0,-69.81089782714844,0.0,0.0,-88.78104400634766,0.0,0.0,-2.8031458854675293,0.0,0.0,15.338249206542969,0.0,0.0,0.2915370508582313,0.0,0.0
6,0,2,10,0.10335291502877579,Put the red cube in the box.,-7.568052291870117,0.0,0.0,69.22032928466797,0.0,0.0,-55.67181396484375,0.0,0.0,-88.46513366699219,0.0,0.0,-3.7112722396850586,0.0,0.0,15.444103240966797,0.0,0.0,0.29509173305587005,0.0,0.0
7,0,2,10,0.11505363342565907,Put the red cube in the box.,-7.773241996765137,0.0,0.0,69.33826446533203,0.0,0.0,-68.30342102050781,0.0,0.0,-87.78426361083984,0.0,0.0,-3.376457691192627,0.0,0.0,15.871706008911133,0.0,0.0,0.29029301731204343,0.0,0.0
8,0,2,10,0.10749082142075778,Put the red cube in the box.,-6.597148895263672,0.0,0.0,71.33761596679688,0.0,0.0,-56.4675407409668,0.0,0.0,-87.99906158447266,0.0,0.0,-2.247575044631958,0.0,0.0,15.293645858764648,0.0,0.0,0.29453138812713137,0.0,0.0
9,0,2,10,0.10166449932102062,Put the red cube in the box.,-7.582491874694824,0.0,0.0,68.88020324707031,0.0,0.0,-54.256649017333984,0.0,0.0,-88.44374084472656,0.0,0.0,-4.126534461975098,0.0,0.0,15.312150955200195,0.0,0.0,0.2950178039549693,0.0,0.0
