trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
0,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
1,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
2,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
3,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
4,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
5,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
6,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
7,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
8,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
9,True,0,0,2,debug_runs/20260603_164150_HIGH_current/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
