episode_idx,raw_predicted_max_fk_eef_z,raw_predicted_max_fk_eef_z_std,raw_predicted_max_fk_eef_z_range,predicted_layout_x,actual_obs_max_fk_eef_z,actual_obs_min_fk_eef_z,actual_obs_range_fk_eef_z,actual_obs_num_points,actual_obs_chunk_index,actual_obs_delay,mapped_predicted_max_fk_eef_z_mean,mapped_predicted_max_fk_eef_z_std,mapped_predicted_max_fk_eef_z_range,mapped_predicted_num_trials,mapped_predicted_source,predicted_layout_y,delay,sent_raw_max_fk_eef_z,sent_mapped_max_fk_eef_z,obs_delay_aligned_max_fk_eef_z,sent_raw_minus_obs_max,sent_mapped_minus_obs_max,num_points,candidate_online_chunk,abs_pred_minus_sent_mapped_fk_z_max,mapped_diff_cm,sent_mapping_error_cm,chunk_aligned
0,0.3013832539419018,5.551115123125783e-17,0.0,episode_folder,0.1360536014065512,0.0782562467327093,0.0577973546738418,50,2,4,0.154514666381074,2.775557561562892e-17,0.0,10,analysis_sequence_chunk50_20260603_164150_HIGH_current_chunk2_replay_10eps/episode_000000/sequence_exact_predicted_action_chunk_trials.csv,episode_folder,4,0.2898250736210189,0.1395159784041975,0.1360536014065512,0.1537714722144676,0.0034623769976462,235,2,0.0149986879768765,1.8461064974522796,0.34623769976462,True
1,0.3004128682144317,5.551115123125783e-17,0.0,episode_folder,0.1371818237875255,0.0769687538708877,0.0602130699166378,50,2,4,0.1555732390024072,0.0,0.0,10,analysis_sequence_chunk50_20260603_164150_HIGH_current_chunk2_replay_10eps/episode_000001/sequence_exact_predicted_action_chunk_trials.csv,episode_folder,4,0.2886063126942995,0.1411308672117562,0.1371818237875255,0.1514244889067739,0.0039490434242306,234,2,0.0144423717906509,1.839141521488169,0.39490434242305994,True
2,0.2991833609657887,5.551115123125783e-17,0.0,episode_folder,0.1366470742803546,0.0778127155584132,0.0588343587219413,50,2,4,0.1556703062273974,0.0,0.0,10,analysis_sequence_chunk50_20260603_164150_HIGH_current_chunk2_replay_10eps/episode_000002/sequence_exact_predicted_action_chunk_trials.csv,episode_folder,4,0.289619799007862,0.1394192288871996,0.1366470742803546,0.1529727247275074,0.0027721546068449,235,2,0.0162510773401978,1.902323194704278,0.27721546068449,True
3,0.2971843360198619,5.551115123125783e-17,0.0,episode_folder,0.1387952791209047,0.078931669219359,0.0598636099015456,50,2,4,0.1416226069524757,0.0,0.0,10,analysis_sequence_chunk50_20260603_164150_HIGH_current_chunk2_replay_10eps/episode_000003/sequence_exact_predicted_action_chunk_trials.csv,episode_folder,4,0.2938980895109007,0.1401723073146952,0.1387952791209047,0.155102810389996,0.0013770281937905,247,2,0.0014502996377805,0.2827327831570997,0.13770281937905,True
4,0.2970072181784893,0.0,0.0,episode_folder,0.1300316770782796,0.0810415018510024,0.0489901752272771,50,2,4,0.1336306050380921,2.775557561562892e-17,0.0,10,analysis_sequence_chunk50_20260603_164150_HIGH_current_chunk2_replay_10eps/episode_000004/sequence_exact_predicted_action_chunk_trials.csv,episode_folder,4,0.2895365517403802,0.13425523685397,0.1300316770782796,0.1595048746621006,0.0042235597756904,235,2,0.0006246318158779,0.3598927959812509,0.42235597756904,True
5,0.3048094002465246,5.551115123125783e-17,0.0,episode_folder,0.1291471987113923,0.0704344637848481,0.0587127349265441,50,2,4,0.1732217367624095,0.0,0.0,10,analysis_sequence_chunk50_20260603_164150_HIGH_current_chunk2_replay_10eps/episode_000005/sequence_exact_predicted_action_chunk_trials.csv,episode_folder,4,0.287936592662088,0.1299636807947172,0.1291471987113923,0.1587893939506956,0.0008164820833249,231,2,0.0432580559676922,4.407453805101722,0.08164820833249001,True
6,0.2981862918273029,0.0,0.0,episode_folder,0.1353995910347054,0.0808786738046707,0.0545209172300346,50,2,4,0.1378025073303376,2.775557561562892e-17,0.0,10,analysis_sequence_chunk50_20260603_164150_HIGH_current_chunk2_replay_10eps/episode_000006/sequence_exact_predicted_action_chunk_trials.csv,episode_folder,4,0.2884730667580502,0.137227918875754,0.1353995910347054,0.1530734757233447,0.0018283278410486,231,2,0.0005745884545835,0.2402916295632218,0.18283278410485998,True
7,0.3033680030457737,0.0,0.0,episode_folder,0.1311306599564246,0.0724641863503083,0.0586664736061162,50,2,4,0.172782510780201,0.0,0.0,10,analysis_sequence_chunk50_20260603_164150_HIGH_current_chunk2_replay_10eps/episode_000007/sequence_exact_predicted_action_chunk_trials.csv,episode_folder,4,0.2896141383744144,0.1262381000748572,0.1311306599564246,0.1584834784179898,-0.0048925598815673,227,1,0.0465444107053438,4.16518508237764,-0.48925598815673005,False
8,0.2989985928114058,0.0,0.0,episode_folder,0.1308183312408795,0.0757663750124131,0.0550519562284664,50,2,4,0.1433262173180413,2.775557561562892e-17,0.0,10,analysis_sequence_chunk50_20260603_164150_HIGH_current_chunk2_replay_10eps/episode_000008/sequence_exact_predicted_action_chunk_trials.csv,episode_folder,4,0.2908712167941344,0.1343768782576665,0.1308183312408795,0.1600528855532549,0.003558547016787,228,2,0.0089493390603747,1.25078860771618,0.35585470167870004,True
9,0.2980252592255826,0.0,0.0,episode_folder,0.1348051542617825,0.0723132938155685,0.062491860446214,50,2,4,0.1334138224509278,0.0,0.0,10,analysis_sequence_chunk50_20260603_164150_HIGH_current_chunk2_replay_10eps/episode_000009/sequence_exact_predicted_action_chunk_trials.csv,episode_folder,4,0.2910362133333417,0.1388162319194807,0.1348051542617825,0.1562310590715592,0.0040110776576981,230,2,0.0054024094685528,-0.13913318108546846,0.40110776576981,True
