trial,seq_pos,is_decision_step,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
0,0,True,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
1,0,True,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
2,0,True,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
3,0,True,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
4,0,True,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
5,0,True,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
6,0,True,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
7,0,True,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
8,0,True,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
9,0,True,-7.950786590576172,68.23292541503906,-62.336570739746094,-88.29869842529297,-3.8932933807373047,15.549566268920898,0.2937114596636051
