trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
0,True,1,0,2,/tmp/chunk2_replay_high_episode_000001/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,0.29267786472718055
1,True,1,0,2,/tmp/chunk2_replay_high_episode_000001/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,0.29267786472718055
2,True,1,0,2,/tmp/chunk2_replay_high_episode_000001/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,0.29267786472718055
3,True,1,0,2,/tmp/chunk2_replay_high_episode_000001/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,0.29267786472718055
4,True,1,0,2,/tmp/chunk2_replay_high_episode_000001/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,0.29267786472718055
5,True,1,0,2,/tmp/chunk2_replay_high_episode_000001/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,0.29267786472718055
6,True,1,0,2,/tmp/chunk2_replay_high_episode_000001/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,0.29267786472718055
7,True,1,0,2,/tmp/chunk2_replay_high_episode_000001/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,0.29267786472718055
8,True,1,0,2,/tmp/chunk2_replay_high_episode_000001/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,0.29267786472718055
9,True,1,0,2,/tmp/chunk2_replay_high_episode_000001/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,0.29267786472718055
