trial,chunk_steps,predicted_chunk_fk_eef_z_start,predicted_chunk_fk_eef_z_end,predicted_chunk_fk_eef_z_max,predicted_chunk_fk_eef_z_min,predicted_chunk_fk_eef_z_range,predicted_chunk_fk_eef_z_argmax_step,action_values.0_chunk_start,action_values.0_chunk_end,action_values.0_chunk_min,action_values.0_chunk_max,action_values.0_chunk_range,action_values.1_chunk_start,action_values.1_chunk_end,action_values.1_chunk_min,action_values.1_chunk_max,action_values.1_chunk_range,action_values.2_chunk_start,action_values.2_chunk_end,action_values.2_chunk_min,action_values.2_chunk_max,action_values.2_chunk_range,action_values.3_chunk_start,action_values.3_chunk_end,action_values.3_chunk_min,action_values.3_chunk_max,action_values.3_chunk_range,action_values.4_chunk_start,action_values.4_chunk_end,action_values.4_chunk_min,action_values.4_chunk_max,action_values.4_chunk_range,action_values.5_chunk_start,action_values.5_chunk_end,action_values.5_chunk_min,action_values.5_chunk_max,action_values.5_chunk_range
0,50,0.29267786472718055,0.2669690062640757,0.30041286821443175,0.2512144314502466,0.04919843676418517,13,-7.507783889770508,-14.593302726745605,-15.02733325958252,0.8985776901245117,15.925910949707031,63.82855224609375,76.71298217773438,53.16677474975586,78.64199829101562,25.475223541259766,-65.3594970703125,-11.95767593383789,-65.3594970703125,-2.5659828186035156,62.793514251708984,-88.18962097167969,-89.07136535644531,-102.40799713134766,-87.77534484863281,14.632652282714844,-4.03447961807251,4.005008697509766,-5.707409381866455,4.271047592163086,9.978456974029541,15.751361846923828,19.295682907104492,15.751361846923828,28.318382263183594,12.567020416259766
1,50,0.29267786472718055,0.2669690062640757,0.30041286821443175,0.2512144314502466,0.04919843676418517,13,-7.507783889770508,-14.593302726745605,-15.02733325958252,0.8985776901245117,15.925910949707031,63.82855224609375,76.71298217773438,53.16677474975586,78.64199829101562,25.475223541259766,-65.3594970703125,-11.95767593383789,-65.3594970703125,-2.5659828186035156,62.793514251708984,-88.18962097167969,-89.07136535644531,-102.40799713134766,-87.77534484863281,14.632652282714844,-4.03447961807251,4.005008697509766,-5.707409381866455,4.271047592163086,9.978456974029541,15.751361846923828,19.295682907104492,15.751361846923828,28.318382263183594,12.567020416259766
2,50,0.29267786472718055,0.2669690062640757,0.30041286821443175,0.2512144314502466,0.04919843676418517,13,-7.507783889770508,-14.593302726745605,-15.02733325958252,0.8985776901245117,15.925910949707031,63.82855224609375,76.71298217773438,53.16677474975586,78.64199829101562,25.475223541259766,-65.3594970703125,-11.95767593383789,-65.3594970703125,-2.5659828186035156,62.793514251708984,-88.18962097167969,-89.07136535644531,-102.40799713134766,-87.77534484863281,14.632652282714844,-4.03447961807251,4.005008697509766,-5.707409381866455,4.271047592163086,9.978456974029541,15.751361846923828,19.295682907104492,15.751361846923828,28.318382263183594,12.567020416259766
3,50,0.29267786472718055,0.2669690062640757,0.30041286821443175,0.2512144314502466,0.04919843676418517,13,-7.507783889770508,-14.593302726745605,-15.02733325958252,0.8985776901245117,15.925910949707031,63.82855224609375,76.71298217773438,53.16677474975586,78.64199829101562,25.475223541259766,-65.3594970703125,-11.95767593383789,-65.3594970703125,-2.5659828186035156,62.793514251708984,-88.18962097167969,-89.07136535644531,-102.40799713134766,-87.77534484863281,14.632652282714844,-4.03447961807251,4.005008697509766,-5.707409381866455,4.271047592163086,9.978456974029541,15.751361846923828,19.295682907104492,15.751361846923828,28.318382263183594,12.567020416259766
4,50,0.29267786472718055,0.2669690062640757,0.30041286821443175,0.2512144314502466,0.04919843676418517,13,-7.507783889770508,-14.593302726745605,-15.02733325958252,0.8985776901245117,15.925910949707031,63.82855224609375,76.71298217773438,53.16677474975586,78.64199829101562,25.475223541259766,-65.3594970703125,-11.95767593383789,-65.3594970703125,-2.5659828186035156,62.793514251708984,-88.18962097167969,-89.07136535644531,-102.40799713134766,-87.77534484863281,14.632652282714844,-4.03447961807251,4.005008697509766,-5.707409381866455,4.271047592163086,9.978456974029541,15.751361846923828,19.295682907104492,15.751361846923828,28.318382263183594,12.567020416259766
5,50,0.29267786472718055,0.2669690062640757,0.30041286821443175,0.2512144314502466,0.04919843676418517,13,-7.507783889770508,-14.593302726745605,-15.02733325958252,0.8985776901245117,15.925910949707031,63.82855224609375,76.71298217773438,53.16677474975586,78.64199829101562,25.475223541259766,-65.3594970703125,-11.95767593383789,-65.3594970703125,-2.5659828186035156,62.793514251708984,-88.18962097167969,-89.07136535644531,-102.40799713134766,-87.77534484863281,14.632652282714844,-4.03447961807251,4.005008697509766,-5.707409381866455,4.271047592163086,9.978456974029541,15.751361846923828,19.295682907104492,15.751361846923828,28.318382263183594,12.567020416259766
6,50,0.29267786472718055,0.2669690062640757,0.30041286821443175,0.2512144314502466,0.04919843676418517,13,-7.507783889770508,-14.593302726745605,-15.02733325958252,0.8985776901245117,15.925910949707031,63.82855224609375,76.71298217773438,53.16677474975586,78.64199829101562,25.475223541259766,-65.3594970703125,-11.95767593383789,-65.3594970703125,-2.5659828186035156,62.793514251708984,-88.18962097167969,-89.07136535644531,-102.40799713134766,-87.77534484863281,14.632652282714844,-4.03447961807251,4.005008697509766,-5.707409381866455,4.271047592163086,9.978456974029541,15.751361846923828,19.295682907104492,15.751361846923828,28.318382263183594,12.567020416259766
7,50,0.29267786472718055,0.2669690062640757,0.30041286821443175,0.2512144314502466,0.04919843676418517,13,-7.507783889770508,-14.593302726745605,-15.02733325958252,0.8985776901245117,15.925910949707031,63.82855224609375,76.71298217773438,53.16677474975586,78.64199829101562,25.475223541259766,-65.3594970703125,-11.95767593383789,-65.3594970703125,-2.5659828186035156,62.793514251708984,-88.18962097167969,-89.07136535644531,-102.40799713134766,-87.77534484863281,14.632652282714844,-4.03447961807251,4.005008697509766,-5.707409381866455,4.271047592163086,9.978456974029541,15.751361846923828,19.295682907104492,15.751361846923828,28.318382263183594,12.567020416259766
8,50,0.29267786472718055,0.2669690062640757,0.30041286821443175,0.2512144314502466,0.04919843676418517,13,-7.507783889770508,-14.593302726745605,-15.02733325958252,0.8985776901245117,15.925910949707031,63.82855224609375,76.71298217773438,53.16677474975586,78.64199829101562,25.475223541259766,-65.3594970703125,-11.95767593383789,-65.3594970703125,-2.5659828186035156,62.793514251708984,-88.18962097167969,-89.07136535644531,-102.40799713134766,-87.77534484863281,14.632652282714844,-4.03447961807251,4.005008697509766,-5.707409381866455,4.271047592163086,9.978456974029541,15.751361846923828,19.295682907104492,15.751361846923828,28.318382263183594,12.567020416259766
9,50,0.29267786472718055,0.2669690062640757,0.30041286821443175,0.2512144314502466,0.04919843676418517,13,-7.507783889770508,-14.593302726745605,-15.02733325958252,0.8985776901245117,15.925910949707031,63.82855224609375,76.71298217773438,53.16677474975586,78.64199829101562,25.475223541259766,-65.3594970703125,-11.95767593383789,-65.3594970703125,-2.5659828186035156,62.793514251708984,-88.18962097167969,-89.07136535644531,-102.40799713134766,-87.77534484863281,14.632652282714844,-4.03447961807251,4.005008697509766,-5.707409381866455,4.271047592163086,9.978456974029541,15.751361846923828,19.295682907104492,15.751361846923828,28.318382263183594,12.567020416259766
