trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,task,lift_eef_z,predicted_action_eef_z
0,True,3,0,2,/tmp/chunk2_replay_high_episode_000003/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
1,True,3,0,2,/tmp/chunk2_replay_high_episode_000003/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
2,True,3,0,2,/tmp/chunk2_replay_high_episode_000003/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
3,True,3,0,2,/tmp/chunk2_replay_high_episode_000003/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
4,True,3,0,2,/tmp/chunk2_replay_high_episode_000003/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
5,True,3,0,2,/tmp/chunk2_replay_high_episode_000003/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
6,True,3,0,2,/tmp/chunk2_replay_high_episode_000003/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
7,True,3,0,2,/tmp/chunk2_replay_high_episode_000003/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
8,True,3,0,2,/tmp/chunk2_replay_high_episode_000003/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
9,True,3,0,2,/tmp/chunk2_replay_high_episode_000003/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,-7.166062355041504,69.9896240234375,-56.62827682495117,-88.21895599365234,-2.8018312454223633,15.674907684326172,Put the red cube in the box.,0.10342027778327567,0.2947594748408974
