trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
0,True,8,0,2,/tmp/chunk2_replay_high_episode_000008/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,-6.597148895263672,71.33761596679688,-56.4675407409668,-87.99906158447266,-2.247575044631958,15.293645858764648,0.29453138812713137
1,True,8,0,2,/tmp/chunk2_replay_high_episode_000008/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,-6.597148895263672,71.33761596679688,-56.4675407409668,-87.99906158447266,-2.247575044631958,15.293645858764648,0.29453138812713137
2,True,8,0,2,/tmp/chunk2_replay_high_episode_000008/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,-6.597148895263672,71.33761596679688,-56.4675407409668,-87.99906158447266,-2.247575044631958,15.293645858764648,0.29453138812713137
3,True,8,0,2,/tmp/chunk2_replay_high_episode_000008/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,-6.597148895263672,71.33761596679688,-56.4675407409668,-87.99906158447266,-2.247575044631958,15.293645858764648,0.29453138812713137
4,True,8,0,2,/tmp/chunk2_replay_high_episode_000008/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,-6.597148895263672,71.33761596679688,-56.4675407409668,-87.99906158447266,-2.247575044631958,15.293645858764648,0.29453138812713137
5,True,8,0,2,/tmp/chunk2_replay_high_episode_000008/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,-6.597148895263672,71.33761596679688,-56.4675407409668,-87.99906158447266,-2.247575044631958,15.293645858764648,0.29453138812713137
6,True,8,0,2,/tmp/chunk2_replay_high_episode_000008/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,-6.597148895263672,71.33761596679688,-56.4675407409668,-87.99906158447266,-2.247575044631958,15.293645858764648,0.29453138812713137
7,True,8,0,2,/tmp/chunk2_replay_high_episode_000008/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,-6.597148895263672,71.33761596679688,-56.4675407409668,-87.99906158447266,-2.247575044631958,15.293645858764648,0.29453138812713137
8,True,8,0,2,/tmp/chunk2_replay_high_episode_000008/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,-6.597148895263672,71.33761596679688,-56.4675407409668,-87.99906158447266,-2.247575044631958,15.293645858764648,0.29453138812713137
9,True,8,0,2,/tmp/chunk2_replay_high_episode_000008/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,-6.597148895263672,71.33761596679688,-56.4675407409668,-87.99906158447266,-2.247575044631958,15.293645858764648,0.29453138812713137
