episode_idx,decision_seq_pos,decision_chunk_idx,num_repeats,lift_eef_z,task,action_values.0,action_values.0_repeat_std,action_values.0_repeat_range,action_values.1,action_values.1_repeat_std,action_values.1_repeat_range,action_values.2,action_values.2_repeat_std,action_values.2_repeat_range,action_values.3,action_values.3_repeat_std,action_values.3_repeat_range,action_values.4,action_values.4_repeat_std,action_values.4_repeat_range,action_values.5,action_values.5_repeat_std,action_values.5_repeat_range,predicted_action_eef_z,predicted_action_eef_z_repeat_std,predicted_action_eef_z_repeat_range
0,2,2,10,0.09097638895443269,Put the red cube in the box.,-7.055764198303223,0.0,0.0,74.62063598632812,0.0,0.0,-4.568291664123535,0.0,0.0,-91.7779312133789,0.0,0.0,-3.9392623901367188,0.0,0.0,63.44166946411133,0.0,0.0,0.026451607027757073,3.469446951953614e-18,0.0
1,2,2,10,0.10474202537730397,Put the red cube in the box.,-14.476903915405273,0.0,0.0,82.98143768310547,0.0,0.0,2.1396102905273438,0.0,0.0,-92.06217956542969,0.0,0.0,-6.928495407104492,0.0,0.0,61.77995300292969,0.0,0.0,0.02322352687358926,3.469446951953614e-18,0.0
2,2,2,10,0.10457579273633269,Put the red cube in the box.,-14.813578605651855,0.0,0.0,82.63246154785156,0.0,0.0,1.8133296966552734,0.0,0.0,-91.82571411132812,0.0,0.0,-7.0660858154296875,0.0,0.0,66.30165100097656,0.0,0.0,0.02344193156333066,0.0,0.0
3,2,2,10,0.07158760308163686,Put the red cube in the box.,-15.008691787719727,0.0,0.0,81.88591766357422,0.0,0.0,0.9815940856933594,0.0,0.0,-91.83654022216797,0.0,0.0,-7.223848342895508,0.0,0.0,65.89081573486328,0.0,0.0,0.024125747209150228,0.0,0.0
4,2,2,10,0.07887344831233473,Put the red cube in the box.,-14.9218111038208,0.0,0.0,82.1825180053711,0.0,0.0,0.8836193084716797,0.0,0.0,-92.06037902832031,0.0,0.0,-7.2083740234375,0.0,0.0,63.794952392578125,0.0,0.0,0.024553830322744274,0.0,0.0
5,2,2,10,0.11005045183422023,Put the red cube in the box.,-14.517372131347656,0.0,0.0,81.1242904663086,0.0,0.0,-0.8111057281494141,0.0,0.0,-91.78838348388672,0.0,0.0,-7.235111236572266,0.0,0.0,64.890625,0.0,0.0,0.026396994629422178,3.469446951953614e-18,0.0
6,2,2,10,0.10936583204902864,Put the red cube in the box.,-14.639288902282715,0.0,0.0,82.24528503417969,0.0,0.0,1.279388427734375,0.0,0.0,-91.89054107666016,0.0,0.0,-7.2509565353393555,0.0,0.0,65.70057678222656,0.0,0.0,0.023963501078039684,0.0,0.0
7,2,2,10,0.10251846289148103,Put the red cube in the box.,-14.730177879333496,0.0,0.0,81.42195892333984,0.0,0.0,0.3174476623535156,0.0,0.0,-91.89266967773438,0.0,0.0,-7.056034088134766,0.0,0.0,66.3213882446289,0.0,0.0,0.024792914354057644,0.0,0.0
8,2,2,10,0.07599556886890238,Put the red cube in the box.,-14.5126371383667,0.0,0.0,79.88040924072266,0.0,0.0,-1.8504886627197266,0.0,0.0,-92.23202514648438,0.0,0.0,-7.253294944763184,0.0,0.0,66.49543762207031,0.0,0.0,0.026978889092065167,0.0,0.0
9,2,2,10,0.10827715725727435,Put the red cube in the box.,-14.52565860748291,0.0,0.0,81.36164093017578,0.0,0.0,0.26682090759277344,0.0,0.0,-92.13095092773438,0.0,0.0,-7.365939140319824,0.0,0.0,65.78433227539062,0.0,0.0,0.024822487252785574,0.0,0.0
