episode_idx,decision_seq_pos,decision_chunk_idx,num_repeats,lift_eef_z,task,action_values.0,action_values.0_repeat_std,action_values.0_repeat_range,action_values.1,action_values.1_repeat_std,action_values.1_repeat_range,action_values.2,action_values.2_repeat_std,action_values.2_repeat_range,action_values.3,action_values.3_repeat_std,action_values.3_repeat_range,action_values.4,action_values.4_repeat_std,action_values.4_repeat_range,action_values.5,action_values.5_repeat_std,action_values.5_repeat_range,predicted_action_eef_z,predicted_action_eef_z_repeat_std,predicted_action_eef_z_repeat_range
0,1,1,10,0.11904789986624192,Put the red cube in the box.,-9.281309127807617,0.0,0.0,79.14640045166016,0.0,0.0,-0.6815452575683594,0.0,0.0,-89.59037780761719,0.0,0.0,-6.687497138977051,0.0,0.0,56.541866302490234,0.0,0.0,0.2509044011242959,5.551115123125783e-17,0.0
1,1,1,10,0.12172957910780453,Put the red cube in the box.,-10.64258098602295,0.0,0.0,83.35350799560547,0.0,0.0,-0.5532341003417969,0.0,0.0,-89.64419555664062,0.0,0.0,-5.654955863952637,0.0,0.0,59.156822204589844,0.0,0.0,0.2543611096203936,5.551115123125783e-17,0.0
2,1,1,10,0.1093560872809122,Put the red cube in the box.,-11.041413307189941,0.0,0.0,85.36451721191406,0.0,0.0,0.9868793487548828,0.0,0.0,-89.10820007324219,0.0,0.0,-5.346100330352783,0.0,0.0,58.16431427001953,0.0,0.0,0.25341085042803646,0.0,0.0
3,1,1,10,0.11142633677057442,Put the red cube in the box.,-10.986625671386719,0.0,0.0,81.72318267822266,0.0,0.0,-2.7643985748291016,0.0,0.0,-89.70284271240234,0.0,0.0,-4.9205780029296875,0.0,0.0,60.31853485107422,0.0,0.0,0.25671562637099504,5.551115123125783e-17,0.0
4,1,1,10,0.10410949212856181,Put the red cube in the box.,-10.558552742004395,0.0,0.0,82.60005950927734,0.0,0.0,-1.0470943450927734,0.0,0.0,-89.33456420898438,0.0,0.0,-4.788325309753418,0.0,0.0,60.81201934814453,0.0,0.0,0.25455466683217004,0.0,0.0
5,1,1,10,0.09924362969374516,Put the red cube in the box.,-10.5499849319458,0.0,0.0,82.8707275390625,0.0,0.0,-1.2106342315673828,0.0,0.0,-89.30599975585938,0.0,0.0,-5.354683876037598,0.0,0.0,62.76313400268555,0.0,0.0,0.2550554470718906,0.0,0.0
6,1,1,10,0.11445380298816726,Put the red cube in the box.,-10.724502563476562,0.0,0.0,82.30182647705078,0.0,0.0,-2.327047348022461,0.0,0.0,-89.36553192138672,0.0,0.0,-4.567610740661621,0.0,0.0,60.4622802734375,0.0,0.0,0.256449886894318,0.0,0.0
7,1,1,10,0.11548998865589251,Put the red cube in the box.,-10.92094612121582,0.0,0.0,83.00907135009766,0.0,0.0,-1.3721427917480469,0.0,0.0,-89.20684814453125,0.0,0.0,-5.15262508392334,0.0,0.0,63.01387023925781,0.0,0.0,0.255436618972036,5.551115123125783e-17,0.0
8,1,1,10,0.10712055059456174,Put the red cube in the box.,-10.7066068649292,0.0,0.0,83.08869171142578,0.0,0.0,-1.7934646606445312,0.0,0.0,-88.7893295288086,0.0,0.0,-5.226408004760742,0.0,0.0,60.99476623535156,0.0,0.0,0.2561698886767843,5.551115123125783e-17,0.0
9,1,1,10,0.11653822697714647,Put the red cube in the box.,-11.099614143371582,0.0,0.0,82.85704040527344,0.0,0.0,-1.3556652069091797,0.0,0.0,-89.6607437133789,0.0,0.0,-5.409208297729492,0.0,0.0,58.04664611816406,0.0,0.0,0.2553033762360387,0.0,0.0
