trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,task,lift_eef_z,predicted_action_eef_z
0,True,0,1,1,debug_runs/20260605_115612_Stable/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,Put the red cube in the box.,0.11904789986624192,0.25090440112429596
1,True,0,1,1,debug_runs/20260605_115612_Stable/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,Put the red cube in the box.,0.11904789986624192,0.25090440112429596
2,True,0,1,1,debug_runs/20260605_115612_Stable/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,Put the red cube in the box.,0.11904789986624192,0.25090440112429596
3,True,0,1,1,debug_runs/20260605_115612_Stable/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,Put the red cube in the box.,0.11904789986624192,0.25090440112429596
4,True,0,1,1,debug_runs/20260605_115612_Stable/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,Put the red cube in the box.,0.11904789986624192,0.25090440112429596
5,True,0,1,1,debug_runs/20260605_115612_Stable/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,Put the red cube in the box.,0.11904789986624192,0.25090440112429596
6,True,0,1,1,debug_runs/20260605_115612_Stable/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,Put the red cube in the box.,0.11904789986624192,0.25090440112429596
7,True,0,1,1,debug_runs/20260605_115612_Stable/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,Put the red cube in the box.,0.11904789986624192,0.25090440112429596
8,True,0,1,1,debug_runs/20260605_115612_Stable/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,Put the red cube in the box.,0.11904789986624192,0.25090440112429596
9,True,0,1,1,debug_runs/20260605_115612_Stable/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,-9.281309127807617,79.14640045166016,-0.6815452575683594,-89.59037780761719,-6.687497138977051,56.541866302490234,Put the red cube in the box.,0.11904789986624192,0.25090440112429596
