episode_idx,num_steps,policy_action_fk_z_max,processed_action_fk_z_max,robot_action_to_send_fk_z_max,sent_action_fk_z_max,actual_observation_state_fk_z_max,policy_action_fk_z_min,processed_action_fk_z_min,robot_action_to_send_fk_z_min,sent_action_fk_z_min,actual_observation_state_fk_z_min,sent_minus_actual_max_z,robot_send_minus_actual_max_z,policy_minus_actual_max_z
0,245,0.28988791905933986,0.28988791905933986,0.28988791905933986,0.28988791905933986,0.13177709126203274,0.22332631857321775,0.22332631857321775,0.22332631857321775,0.22332631857321775,0.00420414164616012,0.15811082779730712,0.15811082779730712,0.15811082779730712
1,251,0.2926490314231615,0.2926490314231615,0.2926490314231615,0.2926490314231615,0.13777574931520858,0.22300726883856564,0.22300726883856564,0.22300726883856564,0.22300726883856564,0.003943679690495874,0.15487328210795293,0.15487328210795293,0.15487328210795293
2,243,0.28840395217996423,0.28840395217996423,0.28840395217996423,0.28840395217996423,0.13599241896294528,0.22373312073987545,0.22373312073987545,0.22373312073987545,0.22373312073987545,0.004624575004904027,0.15241153321701895,0.15241153321701895,0.15241153321701895
3,249,0.29029592662385023,0.29029592662385023,0.29029592662385023,0.29029592662385023,0.13336658546920674,0.22360867241999818,0.22360867241999818,0.22360867241999818,0.22360867241999818,0.0042684857544111054,0.1569293411546435,0.1569293411546435,0.1569293411546435
4,242,0.29017751918866563,0.29017751918866563,0.29017751918866563,0.29017751918866563,0.12376667612463577,0.22486895106511312,0.22486895106511312,0.22486895106511312,0.22486895106511312,0.004704442827409616,0.16641084306402987,0.16641084306402987,0.16641084306402987
5,251,0.29589718582161234,0.29589718582161234,0.29589718582161234,0.29589718582161234,0.1359948193409654,0.22299998725763318,0.22299998725763318,0.22299998725763318,0.22299998725763318,0.004031533924758662,0.15990236648064693,0.15990236648064693,0.15990236648064693
6,245,0.2908533801110207,0.2908533801110207,0.2908533801110207,0.2908533801110207,0.13356045500625716,0.22367594130775023,0.22367594130775023,0.22367594130775023,0.22367594130775023,0.004116117698770849,0.15729292510476353,0.15729292510476353,0.15729292510476353
7,242,0.2904562398195665,0.2904562398195665,0.2904562398195665,0.2904562398195665,0.12914753664029924,0.2235789360801349,0.2235789360801349,0.2235789360801349,0.2235789360801349,0.0043331908908361,0.16130870317926724,0.16130870317926724,0.16130870317926724
8,250,0.2927127743525968,0.2927127743525968,0.2927127743525968,0.2927127743525968,0.13814246497265914,0.22391552479604154,0.22391552479604154,0.22391552479604154,0.22391552479604154,0.00450431452137727,0.15457030937993765,0.15457030937993765,0.15457030937993765
9,248,0.2887278236603207,0.2887278236603207,0.2887278236603207,0.2887278236603207,0.13328426577911728,0.22457726394101019,0.22457726394101019,0.22457726394101019,0.22457726394101019,0.004818376288335202,0.1554435578812034,0.1554435578812034,0.1554435578812034
