episode_idx,sent_full_fk_z_max,sent_with_obs_wrist_fk_z_max,obs_full_fk_z_max,obs_with_sent_wrist_fk_z_max
0,0.28988791905933986,0.16464631440234118,0.13177709126203274,0.2850507868797246
1,0.2926490314231615,0.16984390562415877,0.13777574931520858,0.2874142953734796
2,0.28840395217996423,0.16884318143524876,0.13599241896294528,0.28291372211231947
3,0.29029592662385023,0.16594182759174247,0.13336658546920674,0.2849485286726253
4,0.29017751918866563,0.16151934728444384,0.12376667612463577,0.28562257545358466
5,0.29589718582161234,0.17044851427772784,0.1359948193409654,0.2883867027403351
6,0.2908533801110207,0.15925463671259577,0.13356045500625716,0.2845524604634051
7,0.2904562398195665,0.16105047604888995,0.12914753664029924,0.28696436571875666
8,0.2927127743525968,0.1687670252717824,0.13814246497265914,0.2887238449664802
9,0.2887278236603207,0.16464752815897132,0.13328426577911728,0.2830270177630232
