concept,rank,keyword_layer,keyword_neuron,keyword_match_count,keyword_max_logit,keyword_top1,keyword_top_tokens,physical_layer,physical_neuron,physical_signed_score,physical_abs_score,physical_max_logit,physical_top1,physical_top_tokens
High Transport,1,7,1151,3,1.6969618797302246,high,high | higher | above | > | lower | large | > | highest | rising | def,14,805,0.0021055806428194046,0.0021055806428194046,1.6210548877716064,forgettable,forgettable | ima | ospatial | blers | mountable | compacted | nematodes | olks | teneg | phthalm
High Transport,2,2,826,3,1.4289681911468506,high,high | high | asyncio | search | in | frust | High | ä | center | nee,1,1050,0.002053096890449524,0.002053096890449524,4.920811176300049,reponame,reponame | dprinting | onsai | aspberries | firehose | outheastern | ijuana | yalgia | enfranch | orgetown
High Transport,3,9,2554,3,1.4063643217086792,hard,hard | high | intra | low | CESS | significant | Intra | high | High | Bard,4,1183,0.0018590092658996582,0.0018590092658996582,1.5311346054077148,ceae,ceae | ️ |  | rupulous | IST | successfully | experiences | asures | idase | iences
High Transport,4,3,369,2,1.7146179676055908,iagn,iagn | abets | osate | trl | highest | unsuccessful | highest | Musa | ||- | hythm,11,1115,0.0018499493598937988,0.0018499493598937988,1.6474335193634033,wise,wise |  | p | ( | - | non | wise | [ | ** | projects
High Transport,5,1,1390,2,1.3318697214126587,doorstep,doorstep | conclud | arp | upuncture | High | ler | oons | high | hurd | proverb,7,295,0.0016426444053649902,0.0016426444053649902,2.060506582260132,araoh,araoh | istine | grown | actin | ilantro | engue | ynasty | ifflin | yalgia | othschild
High Transport,6,13,414,2,1.3265480995178223,"}"".","}"". | }'. | iest | highest | main | hest | happ | ail | highest | foreground",15,1465,0.0016233772039413452,0.0016233772039413452,2.054429531097412,ourg,ourg | worth | othy | outheastern | utz | bourg | our | verty | heastern | lilies
High Transport,7,15,1231,2,1.2634425163269043,high,high | level | low | transition | “ | life | lower | higher | distance | motion,10,1316,0.0016038892790675163,0.0016038892790675163,1.62929105758667,cientious,cientious | xiv | RED | Revenue | ilton | itual | Excell | Millions | )— | Thousands
High Transport,8,5,2408,2,1.243880033493042,high,high | bridge | Sun | unningham | ilio | above | White | * | 2 | High,0,1293,0.0015796767547726631,0.0015796767547726631,4.056211471557617,emeteries,emeteries | soriasis | incinn | omegran | ilantro | olkien | emetery | athione | onsai | WARRANTIES
High Transport,9,10,1653,2,1.1489382982254028,high,high | how |  | new | open | top | E | High | left | Lie,11,208,0.0015606153756380081,0.0015606153756380081,0.9807344675064087,ann,ann | cong | - | leaders | summer | find | fab | ju | M | pass
High Transport,10,13,74,2,1.1391533613204956,positive,positive | Count | higher | set | ates | count | best | non | un | highest,8,2303,0.001416688784956932,0.001416688784956932,1.3484067916870117,cyclop,cyclop | ikipedia | aints | assium | ashire | acs | ovies | asting | ustainable | �
Low Transport,1,5,1877,3,1.5582727193832397,miracul,miracul | lower | worst | lev | heric | iting | lowest | Lower | worse | Prepar,12,1164,-0.0017257947474718094,0.0017257947474718094,2.2130203247070312,adays,adays | MODE | thorne | encers | amate | ounsaturated | killers | partum | vens | cgi
Low Transport,2,13,1744,3,1.4205634593963623,",:]",",:] | M | lower | sp | time | below | to | individual | K | Lower",12,1937,-0.0016180463135242462,0.0016180463135242462,1.816947340965271,ELTS,ELTS | ubile | axy | preprint | progress | ikhail | phinx | Exped | aksh | URRENT
Low Transport,3,5,1904,3,1.3973844051361084,ellow,ellow | below | below | elona | berspace | leys | ackexchange | ity | abetes | ERAL,8,2114,-0.0016049519181251526,0.0016049519181251526,9.07386302947998,ilantro,ilantro | olkien | onsai | emeteries | emetery | ijuana | firehose | reponame | dprinting | ikhail
Low Transport,4,10,2349,3,1.3840997219085693,och,och | low | Fine | count | nd | low | Low | ancel | aux | optic,15,678,-0.0015087928622961044,0.0015087928622961044,1.1179401874542236,_,_ | uc | free | [ | training | � | \_ | oil | - | short
Low Transport,5,3,2003,3,1.3391873836517334,lower,lower | -- | picture | lower | As | As | system | Lower | hand | —,12,53,-0.0014915019273757935,0.0014915019273757935,1.4866498708724976,, | W | w | The | p | ab | d | the | a | M
Low Transport,6,1,1222,3,1.2911860942840576,lower,lower | postdocs | Way | UE | Higher | Developing | U | Lower | Mixed | Low,12,1106,-0.001471073366701603,0.001471073366701603,1.4844324588775635,, | in | all | first | $ | et | ar | themselves | need | ets
Low Transport,7,15,1157,3,0.9926072359085083,Low,Low | f | usch | umb | supports | Low | % | low | high | ooth,12,633,-0.0014028828591108322,0.0014028828591108322,1.3228083848953247,Media,Media | media | bodies | body | Body | mid | ]: | body | bed | Media
Low Transport,8,12,405,2,2.3506839275360107,adays,"adays | workflow | canv | :, | ergarten | ]]: | WORK | taxpay | workflow | DV",11,172,-0.001376122236251831,0.001376122236251831,1.4432578086853027,R,R | ( | new | j | as | seiz | new | J | ‘ | 
Low Transport,9,12,1,2,1.5580596923828125,PSA,PSA | severance | alers | neut | Below | lying | below | carbohyd | under | zone,13,324,-0.001336667686700821,0.001336667686700821,1.716482162475586,d,d | f | p |  | s | sound | data | sheer | r | k
Low Transport,10,0,1263,2,1.5076217651367188,s,s | edipus | — | itself | ic | selves | ( | Lower | ( | Lower,14,1051,-0.001330135390162468,0.001330135390162468,1.0239781141281128,OM,OM | backward | imported | stubborn | backwards | iw | orthern | cannot | fundament | pathlib
