group,rank,layer,neuron,effect,abs_effect,raw_diff,abs_raw_diff,t_score,abs_t_score,red_mean,green_mean,red_std,green_std,split_half_a,split_half_b,split_half_same_sign,top1_token,top_tokens,top_logits,red_token_score,green_token_score
red_positive,1,7,2415,11.600455645274257,11.600455645274257,0.05975771367973447,0.05975771367973447,44.81032136720835,44.81032136720835,0.1396233864453384,0.07986567276560393,0.0061965425727664065,0.0038308161589039576,10.064108777016887,13.640619095027441,1.0,ulph,ulph | lich | ('.// | Dougl | ation | Niño | unlock | ocker | lick | import | omenclature | val | olf | sys | Uttar | und | erer | stakes | wood | all,1.591188 | 1.343717 | 1.325281 | 1.230289 | 1.228322 | 1.220362 | 1.214252 | 1.212610 | 1.211085 | 1.206314 | 1.205674 | 1.200671 | 1.197007 | 1.181045 | 1.180675 | 1.174590 | 1.137250 | 1.129230 | 1.126855 | 1.126221,0,0
red_positive,2,14,1924,9.86201884218992,9.86201884218992,0.009800889374385769,0.009800889374385769,35.745847368425025,35.745847368425025,-0.007007801297446117,-0.016808690671831886,0.0009600367183746242,0.0010264562559416275,10.192066521365252,9.996134329208967,1.0,atican,atican | kefeller | nyder | uggage | beit | ijing | ifug | esame | entimes | oustic | Sheet | iban | reeks | reatment | aggering | ipitation | gano | alking | rystall | DESCRIPT,2.245347 | 2.241199 | 2.112400 | 1.954066 | 1.927742 | 1.919260 | 1.893015 | 1.871459 | 1.867536 | 1.859873 | 1.852474 | 1.850717 | 1.835847 | 1.825153 | 1.818035 | 1.800262 | 1.791110 | 1.781162 | 1.780164 | 1.763602,0,0
red_positive,3,8,508,9.253441342506443,9.253441342506443,0.013613052119438862,0.013613052119438862,34.73263487124395,34.73263487124395,-0.11841124200584091,-0.13202429412527977,0.0013417253030482059,0.001590045177699166,9.590368071472488,8.986983213829026,1.0,ordin,"ordin | trimes | assembl | harv | fert | miscar | nib | etting | `): | wors | placent | ζω | actus | scrut | {}"". | untreated | “. | ."". | odef | ourselves",1.608911 | 1.567152 | 1.529305 | 1.494714 | 1.489788 | 1.469032 | 1.455694 | 1.422351 | 1.400051 | 1.353085 | 1.347355 | 1.335272 | 1.310247 | 1.308210 | 1.307393 | 1.295820 | 1.293162 | 1.288471 | 1.287264 | 1.280458,0,0
red_positive,4,9,847,8.98960878987908,8.98960878987908,0.013233354944781013,0.013233354944781013,33.743650407401844,33.743650407401844,0.01750308743506528,0.004269732490284267,0.0016248342880779282,0.0013015021362729625,9.357585793386619,8.56337045357966,1.0,outheastern,outheastern | intendent | incent | IONAL | uela | aze | referend | wort | reforest | thernet | wond | unfore | nance | adays | CADE | pliance | erosene | ||$ | monaster | upgrad,2.330092 | 2.263033 | 2.046278 | 1.920476 | 1.918145 | 1.905899 | 1.898254 | 1.846941 | 1.843057 | 1.830400 | 1.821548 | 1.819094 | 1.803574 | 1.795825 | 1.795407 | 1.777890 | 1.772630 | 1.762686 | 1.754188 | 1.752578,0,0
red_positive,5,4,1262,8.635550415962209,8.635550415962209,0.014626225835240002,0.014626225835240002,32.65793817464307,32.65793817464307,0.010762323029870126,-0.0038639028053698747,0.0016744632012197216,0.00171276520329064,8.704290548960905,8.477321186713393,1.0,(,"( | ' |  | "" | [ | and | p | t | can | C | E | in |  | I | ver | s | , | N | Ver | often",1.639127 | 1.609555 | 1.524291 | 1.357413 | 1.307913 | 1.170555 | 1.111080 | 1.067050 | 1.023476 | 0.980071 | 0.972558 | 0.967414 | 0.964841 | 0.959556 | 0.951546 | 0.946013 | 0.945078 | 0.941463 | 0.926820 | 0.925210,0,0
red_positive,6,7,1466,8.163821529190674,8.163821529190674,0.011545035112820897,0.011545035112820897,30.566546692309824,30.566546692309824,0.0008928743502830544,-0.010652160762537843,0.0013847640944291656,0.0014429776469084476,8.817128924924923,7.414613485381017,1.0,xtap,xtap | cephalus | emetery | ctime | hatma | aghetti | ijuana | eveloped | icle | mala | efficacy | ibar | obyl | ephal | middleware | stocks | OCLC | aeus | icy | pline,2.477557 | 2.287117 | 2.197073 | 2.017797 | 1.980729 | 1.909949 | 1.889318 | 1.850591 | 1.801735 | 1.798223 | 1.790016 | 1.780225 | 1.769686 | 1.744243 | 1.741026 | 1.732219 | 1.727221 | 1.725042 | 1.719866 | 1.703935,0,0
red_positive,7,11,1022,7.9156209053737445,7.9156209053737445,0.021511336614065922,0.021511336614065922,30.370556316553643,30.370556316553643,0.01817162262924064,-0.003339713984825283,0.002364418369963644,0.0030298535880883236,8.550891573682154,7.392365067287503,1.0,CID,CID | termination | initials | nering | Merc | metries | ISSN | heimer | oder | fry | tube | negativity | RNA | Histor | nery | cision | ogly | erness | ceram | hh,1.399311 | 1.389783 | 1.369003 | 1.367769 | 1.354259 | 1.325693 | 1.324335 | 1.295275 | 1.290153 | 1.283726 | 1.280141 | 1.276165 | 1.275364 | 1.274582 | 1.272630 | 1.270749 | 1.270030 | 1.268648 | 1.268457 | 1.257930,0,0
red_positive,8,6,1633,7.8588042744578654,7.8588042744578654,0.010597879832473983,0.010597879832473983,29.329008826267646,29.329008826267646,-0.16148892700634385,-0.17208680683881783,0.0014706689141460764,0.001214179223334945,8.865540696852392,6.929640913887624,1.0,angered,angered | Opportun | joice | cled | PARTIC | ceptive | spotlight | ousse | GM | erre | inoa | lectic | ascent | Demonstrate | scraping | ocument | XR | maximal | ercise | succeed,1.603189 | 1.497287 | 1.345317 | 1.342367 | 1.340411 | 1.324349 | 1.309284 | 1.285366 | 1.274588 | 1.267055 | 1.265629 | 1.264157 | 1.264003 | 1.258111 | 1.252383 | 1.237286 | 1.234184 | 1.230692 | 1.224172 | 1.220681,1,-1
red_positive,9,0,1461,7.833588795154972,7.833588795154972,0.0067202152422060485,0.0067202152422060485,27.809335912499435,27.809335912499435,0.05018201503061099,0.04346179978840494,0.0008660195642587696,0.000849645988552517,8.833061792054696,7.324348923071376,1.0,odder,odder | olkien | paralleled | ijuana | ellington | ropract | ountains | ometown | engu | omegran | ardships | umbs | insular | umbar | oln | bellum | incoln | forgettable | hither | akespe,3.157416 | 3.035232 | 3.018679 | 2.982282 | 2.957192 | 2.843481 | 2.814740 | 2.785452 | 2.765289 | 2.743373 | 2.734047 | 2.729255 | 2.726440 | 2.726171 | 2.723955 | 2.674315 | 2.672868 | 2.653520 | 2.602616 | 2.600582,0,0
red_positive,10,2,702,7.578772362513962,7.578772362513962,0.005397536574526857,0.005397536574526857,25.984621676223117,25.984621676223117,-0.0076881080123180736,-0.01308564458684493,0.0006755995119186639,0.0007469929774101705,6.900411814373777,8.14400652642216,1.0,w,w | other | three | dry | for | — | all | j | growth | two | by | light | s | four | accident | ac | yet | Ge | she | ,1.365201 | 1.174717 | 1.152804 | 1.118865 | 1.116045 | 1.075926 | 1.069601 | 1.054570 | 1.054447 | 0.952330 | 0.950069 | 0.947505 | 0.939522 | 0.916727 | 0.911861 | 0.903363 | 0.901768 | 0.901361 | 0.899034 | 0.897723,0,0
