concept,rank_in_concept_cluster,global_id,layer,neuron,similarity_to_seed,seed_layer,seed_neuron,max_logit,top_tokens_joined,exact_pos_match_count,contains_pos_match_count,concept_match_count,neg_conflict_count,gibberish_count,unrelated_count,noisy_or_unrelated_count,concept_match_ratio,noisy_or_unrelated_ratio,exact_pos_tokens,contains_pos_tokens,neg_conflict_tokens,gibberish_tokens,unrelated_tokens,appears_in_multiple_concepts,overlapping_concepts
Low Transport,1,14677,5,1877,1.0,5,1877,1.5582727193832397,miracul | lower | worst | lev | heric | iting | lowest | Lower | worse | Prepar,0,3,3,0,0,7,7,0.3,0.7,,lower | lowest | Lower,,,miracul | worst | lev | heric | iting | worse | Prepar,False,
Low Transport,2,3782,1,1222,1.0,1,1222,1.2911860942840576,lower | postdocs | Way | UE | Higher | Developing | U | Lower | Mixed | Low,1,2,3,0,0,7,7,0.3,0.7,Low,lower | Lower,,,postdocs | Way | UE | Higher | Developing | U | Mixed,False,
Low Transport,3,35024,13,1744,1.0,13,1744,1.4205634593963623,",:] | M | lower | sp | time | below | to | individual | K | Lower",0,3,3,0,1,6,7,0.3,0.7,,lower | below | Lower,,",:]",M | sp | time | to | individual | K,False,
Low Transport,4,9683,3,2003,1.0,3,2003,1.3391873836517334,lower | -- | picture | lower | As | As | system | Lower | hand | —,0,3,3,0,2,5,7,0.3,0.7,,lower | lower | Lower,,-- | —,picture | As | As | system | hand,False,
Low Transport,5,14704,5,1904,1.0,5,1904,1.3973844051361084,ellow | below | below | elona | berspace | leys | ackexchange | ity | abetes | ERAL,0,3,3,0,0,7,7,0.3,0.7,,ellow | below | below,,,elona | berspace | leys | ackexchange | ity | abetes | ERAL,False,
Low Transport,6,27949,10,2349,1.0,10,2349,1.3840997219085693,och | low | Fine | count | nd | low | Low | ancel | aux | optic,3,0,3,0,0,7,7,0.3,0.7,low | low | Low,,,,och | Fine | count | nd | ancel | aux | optic,False,
Low Transport,7,30097,11,1937,0.8509863615036011,5,1904,2.673316717147827,ERAL | astrous | KeyNot | abets | olingu | parametrize | isbury | neurotransmit | berspace | ifflin,0,0,0,0,0,10,10,0.0,1.0,,,,,ERAL | astrous | KeyNot | abets | olingu | parametrize | isbury | neurotransmit | berspace | ifflin,False,
Low Transport,8,35579,13,2299,0.8508678674697876,5,1904,2.726376533508301,ovascular | urope | berspace | pylobacter | ecause | millan | borough | amble | emeteries | CLUD,0,0,0,0,0,10,10,0.0,1.0,,,,,ovascular | urope | berspace | pylobacter | ecause | millan | borough | amble | emeteries | CLUD,False,
Low Transport,9,22797,8,2317,0.8485828042030334,5,1904,2.055596351623535,elona |  | nesty | cible | ropract | rais | parsley | iriam | Brahma | ustaining,0,0,0,0,1,9,10,0.0,1.0,,,,,elona | nesty | cible | ropract | rais | parsley | iriam | Brahma | ustaining,False,
Low Transport,10,18550,7,630,0.8479148149490356,5,1904,1.9340846538543701,eliness | oeconomic | asgow | erness | zeros | ians | perature | __': | eled | elona,0,0,0,0,1,9,10,0.0,1.0,,,,__':,eliness | oeconomic | asgow | erness | zeros | ians | perature | eled | elona,False,
