concept,rank_in_concept_cluster,global_id,layer,neuron,token_rank,token_raw,token_normalized,token_class,similarity_to_seed,seed_layer,seed_neuron,max_logit
Low Transport,1,14677,5,1877,1,miracul,miracul,unrelated,1.0,5,1877,1.5582727193832397
Low Transport,1,14677,5,1877,2,lower,lower,contains_pos,1.0,5,1877,1.5582727193832397
Low Transport,1,14677,5,1877,3,worst,worst,unrelated,1.0,5,1877,1.5582727193832397
Low Transport,1,14677,5,1877,4,lev,lev,unrelated,1.0,5,1877,1.5582727193832397
Low Transport,1,14677,5,1877,5,heric,heric,unrelated,1.0,5,1877,1.5582727193832397
Low Transport,1,14677,5,1877,6,iting,iting,unrelated,1.0,5,1877,1.5582727193832397
Low Transport,1,14677,5,1877,7,lowest,lowest,contains_pos,1.0,5,1877,1.5582727193832397
Low Transport,1,14677,5,1877,8,Lower,lower,contains_pos,1.0,5,1877,1.5582727193832397
Low Transport,1,14677,5,1877,9,worse,worse,unrelated,1.0,5,1877,1.5582727193832397
Low Transport,1,14677,5,1877,10,Prepar,prepar,unrelated,1.0,5,1877,1.5582727193832397
Low Transport,2,3782,1,1222,1,lower,lower,contains_pos,1.0,1,1222,1.2911860942840576
Low Transport,2,3782,1,1222,2,postdocs,postdocs,unrelated,1.0,1,1222,1.2911860942840576
Low Transport,2,3782,1,1222,3,Way,way,unrelated,1.0,1,1222,1.2911860942840576
Low Transport,2,3782,1,1222,4,UE,ue,unrelated,1.0,1,1222,1.2911860942840576
Low Transport,2,3782,1,1222,5,Higher,higher,unrelated,1.0,1,1222,1.2911860942840576
Low Transport,2,3782,1,1222,6,Developing,developing,unrelated,1.0,1,1222,1.2911860942840576
Low Transport,2,3782,1,1222,7,U,u,unrelated,1.0,1,1222,1.2911860942840576
Low Transport,2,3782,1,1222,8,Lower,lower,contains_pos,1.0,1,1222,1.2911860942840576
Low Transport,2,3782,1,1222,9,Mixed,mixed,unrelated,1.0,1,1222,1.2911860942840576
Low Transport,2,3782,1,1222,10,Low,low,exact_pos,1.0,1,1222,1.2911860942840576
Low Transport,3,35024,13,1744,1,",:]",",:]",gibberish,1.0,13,1744,1.4205634593963623
Low Transport,3,35024,13,1744,2,M,m,unrelated,1.0,13,1744,1.4205634593963623
Low Transport,3,35024,13,1744,3,lower,lower,contains_pos,1.0,13,1744,1.4205634593963623
Low Transport,3,35024,13,1744,4,sp,sp,unrelated,1.0,13,1744,1.4205634593963623
Low Transport,3,35024,13,1744,5,time,time,unrelated,1.0,13,1744,1.4205634593963623
Low Transport,3,35024,13,1744,6,below,below,contains_pos,1.0,13,1744,1.4205634593963623
Low Transport,3,35024,13,1744,7,to,to,unrelated,1.0,13,1744,1.4205634593963623
Low Transport,3,35024,13,1744,8,individual,individual,unrelated,1.0,13,1744,1.4205634593963623
Low Transport,3,35024,13,1744,9,K,k,unrelated,1.0,13,1744,1.4205634593963623
Low Transport,3,35024,13,1744,10,Lower,lower,contains_pos,1.0,13,1744,1.4205634593963623
Low Transport,4,9683,3,2003,1,lower,lower,contains_pos,1.0,3,2003,1.3391873836517334
Low Transport,4,9683,3,2003,2,--,--,gibberish,1.0,3,2003,1.3391873836517334
Low Transport,4,9683,3,2003,3,picture,picture,unrelated,1.0,3,2003,1.3391873836517334
Low Transport,4,9683,3,2003,4,lower,lower,contains_pos,1.0,3,2003,1.3391873836517334
Low Transport,4,9683,3,2003,5,As,as,unrelated,1.0,3,2003,1.3391873836517334
Low Transport,4,9683,3,2003,6,As,as,unrelated,1.0,3,2003,1.3391873836517334
Low Transport,4,9683,3,2003,7,system,system,unrelated,1.0,3,2003,1.3391873836517334
Low Transport,4,9683,3,2003,8,Lower,lower,contains_pos,1.0,3,2003,1.3391873836517334
Low Transport,4,9683,3,2003,9,hand,hand,unrelated,1.0,3,2003,1.3391873836517334
Low Transport,4,9683,3,2003,10,—,—,gibberish,1.0,3,2003,1.3391873836517334
Low Transport,5,14704,5,1904,1,ellow,ellow,contains_pos,1.0,5,1904,1.3973844051361084
Low Transport,5,14704,5,1904,2,below,below,contains_pos,1.0,5,1904,1.3973844051361084
Low Transport,5,14704,5,1904,3,below,below,contains_pos,1.0,5,1904,1.3973844051361084
Low Transport,5,14704,5,1904,4,elona,elona,unrelated,1.0,5,1904,1.3973844051361084
Low Transport,5,14704,5,1904,5,berspace,berspace,unrelated,1.0,5,1904,1.3973844051361084
Low Transport,5,14704,5,1904,6,leys,leys,unrelated,1.0,5,1904,1.3973844051361084
Low Transport,5,14704,5,1904,7,ackexchange,ackexchange,unrelated,1.0,5,1904,1.3973844051361084
Low Transport,5,14704,5,1904,8,ity,ity,unrelated,1.0,5,1904,1.3973844051361084
Low Transport,5,14704,5,1904,9,abetes,abetes,unrelated,1.0,5,1904,1.3973844051361084
Low Transport,5,14704,5,1904,10,ERAL,eral,unrelated,1.0,5,1904,1.3973844051361084
Low Transport,6,27949,10,2349,1,och,och,unrelated,1.0,10,2349,1.3840997219085693
Low Transport,6,27949,10,2349,2,low,low,exact_pos,1.0,10,2349,1.3840997219085693
Low Transport,6,27949,10,2349,3,Fine,fine,unrelated,1.0,10,2349,1.3840997219085693
Low Transport,6,27949,10,2349,4,count,count,unrelated,1.0,10,2349,1.3840997219085693
Low Transport,6,27949,10,2349,5,nd,nd,unrelated,1.0,10,2349,1.3840997219085693
Low Transport,6,27949,10,2349,6,low,low,exact_pos,1.0,10,2349,1.3840997219085693
Low Transport,6,27949,10,2349,7,Low,low,exact_pos,1.0,10,2349,1.3840997219085693
Low Transport,6,27949,10,2349,8,ancel,ancel,unrelated,1.0,10,2349,1.3840997219085693
Low Transport,6,27949,10,2349,9,aux,aux,unrelated,1.0,10,2349,1.3840997219085693
Low Transport,6,27949,10,2349,10,optic,optic,unrelated,1.0,10,2349,1.3840997219085693
Low Transport,7,30097,11,1937,1,ERAL,eral,unrelated,0.8509863615036011,5,1904,2.673316717147827
Low Transport,7,30097,11,1937,2,astrous,astrous,unrelated,0.8509863615036011,5,1904,2.673316717147827
Low Transport,7,30097,11,1937,3,KeyNot,keynot,unrelated,0.8509863615036011,5,1904,2.673316717147827
Low Transport,7,30097,11,1937,4,abets,abets,unrelated,0.8509863615036011,5,1904,2.673316717147827
Low Transport,7,30097,11,1937,5,olingu,olingu,unrelated,0.8509863615036011,5,1904,2.673316717147827
Low Transport,7,30097,11,1937,6,parametrize,parametrize,unrelated,0.8509863615036011,5,1904,2.673316717147827
Low Transport,7,30097,11,1937,7,isbury,isbury,unrelated,0.8509863615036011,5,1904,2.673316717147827
Low Transport,7,30097,11,1937,8,neurotransmit,neurotransmit,unrelated,0.8509863615036011,5,1904,2.673316717147827
Low Transport,7,30097,11,1937,9,berspace,berspace,unrelated,0.8509863615036011,5,1904,2.673316717147827
Low Transport,7,30097,11,1937,10,ifflin,ifflin,unrelated,0.8509863615036011,5,1904,2.673316717147827
Low Transport,8,35579,13,2299,1,ovascular,ovascular,unrelated,0.8508678674697876,5,1904,2.726376533508301
Low Transport,8,35579,13,2299,2,urope,urope,unrelated,0.8508678674697876,5,1904,2.726376533508301
Low Transport,8,35579,13,2299,3,berspace,berspace,unrelated,0.8508678674697876,5,1904,2.726376533508301
Low Transport,8,35579,13,2299,4,pylobacter,pylobacter,unrelated,0.8508678674697876,5,1904,2.726376533508301
Low Transport,8,35579,13,2299,5,ecause,ecause,unrelated,0.8508678674697876,5,1904,2.726376533508301
Low Transport,8,35579,13,2299,6,millan,millan,unrelated,0.8508678674697876,5,1904,2.726376533508301
Low Transport,8,35579,13,2299,7,borough,borough,unrelated,0.8508678674697876,5,1904,2.726376533508301
Low Transport,8,35579,13,2299,8,amble,amble,unrelated,0.8508678674697876,5,1904,2.726376533508301
Low Transport,8,35579,13,2299,9,emeteries,emeteries,unrelated,0.8508678674697876,5,1904,2.726376533508301
Low Transport,8,35579,13,2299,10,CLUD,clud,unrelated,0.8508678674697876,5,1904,2.726376533508301
Low Transport,9,22797,8,2317,1,elona,elona,unrelated,0.8485828042030334,5,1904,2.055596351623535
Low Transport,9,22797,8,2317,2,,,gibberish,0.8485828042030334,5,1904,2.055596351623535
Low Transport,9,22797,8,2317,3,nesty,nesty,unrelated,0.8485828042030334,5,1904,2.055596351623535
Low Transport,9,22797,8,2317,4,cible,cible,unrelated,0.8485828042030334,5,1904,2.055596351623535
Low Transport,9,22797,8,2317,5,ropract,ropract,unrelated,0.8485828042030334,5,1904,2.055596351623535
Low Transport,9,22797,8,2317,6,rais,rais,unrelated,0.8485828042030334,5,1904,2.055596351623535
Low Transport,9,22797,8,2317,7,parsley,parsley,unrelated,0.8485828042030334,5,1904,2.055596351623535
Low Transport,9,22797,8,2317,8,iriam,iriam,unrelated,0.8485828042030334,5,1904,2.055596351623535
Low Transport,9,22797,8,2317,9,Brahma,brahma,unrelated,0.8485828042030334,5,1904,2.055596351623535
Low Transport,9,22797,8,2317,10,ustaining,ustaining,unrelated,0.8485828042030334,5,1904,2.055596351623535
Low Transport,10,18550,7,630,1,eliness,eliness,unrelated,0.8479148149490356,5,1904,1.9340846538543701
Low Transport,10,18550,7,630,2,oeconomic,oeconomic,unrelated,0.8479148149490356,5,1904,1.9340846538543701
Low Transport,10,18550,7,630,3,asgow,asgow,unrelated,0.8479148149490356,5,1904,1.9340846538543701
Low Transport,10,18550,7,630,4,erness,erness,unrelated,0.8479148149490356,5,1904,1.9340846538543701
Low Transport,10,18550,7,630,5,zeros,zeros,unrelated,0.8479148149490356,5,1904,1.9340846538543701
Low Transport,10,18550,7,630,6,ians,ians,unrelated,0.8479148149490356,5,1904,1.9340846538543701
Low Transport,10,18550,7,630,7,perature,perature,unrelated,0.8479148149490356,5,1904,1.9340846538543701
Low Transport,10,18550,7,630,8,__':,__':,gibberish,0.8479148149490356,5,1904,1.9340846538543701
Low Transport,10,18550,7,630,9,eled,eled,unrelated,0.8479148149490356,5,1904,1.9340846538543701
Low Transport,10,18550,7,630,10,elona,elona,unrelated,0.8479148149490356,5,1904,1.9340846538543701
Low Transport,11,567,0,567,1,eroon,eroon,unrelated,0.847417950630188,5,1904,2.0045158863067627
Low Transport,11,567,0,567,2,berspace,berspace,unrelated,0.847417950630188,5,1904,2.0045158863067627
Low Transport,11,567,0,567,3,lamydia,lamydia,unrelated,0.847417950630188,5,1904,2.0045158863067627
Low Transport,11,567,0,567,4,ashington,ashington,unrelated,0.847417950630188,5,1904,2.0045158863067627
Low Transport,11,567,0,567,5,ptomatic,ptomatic,unrelated,0.847417950630188,5,1904,2.0045158863067627
Low Transport,11,567,0,567,6,uple,uple,unrelated,0.847417950630188,5,1904,2.0045158863067627
Low Transport,11,567,0,567,7,ushima,ushima,unrelated,0.847417950630188,5,1904,2.0045158863067627
Low Transport,11,567,0,567,8,ription,ription,unrelated,0.847417950630188,5,1904,2.0045158863067627
Low Transport,11,567,0,567,9,ercase,ercase,unrelated,0.847417950630188,5,1904,2.0045158863067627
Low Transport,11,567,0,567,10,oling,oling,unrelated,0.847417950630188,5,1904,2.0045158863067627
Low Transport,12,10234,3,2554,1,skirts,skirts,unrelated,0.8473075032234192,5,1904,2.0872702598571777
Low Transport,12,10234,3,2554,2,elona,elona,unrelated,0.8473075032234192,5,1904,2.0872702598571777
Low Transport,12,10234,3,2554,3,thritis,thritis,unrelated,0.8473075032234192,5,1904,2.0872702598571777
Low Transport,12,10234,3,2554,4,informally,informally,unrelated,0.8473075032234192,5,1904,2.0872702598571777
Low Transport,12,10234,3,2554,5,ortunate,ortunate,unrelated,0.8473075032234192,5,1904,2.0872702598571777
Low Transport,12,10234,3,2554,6,lename,lename,unrelated,0.8473075032234192,5,1904,2.0872702598571777
Low Transport,12,10234,3,2554,7,anthus,anthus,unrelated,0.8473075032234192,5,1904,2.0872702598571777
Low Transport,12,10234,3,2554,8,ountered,ountered,unrelated,0.8473075032234192,5,1904,2.0872702598571777
Low Transport,12,10234,3,2554,9,ecs,ecs,unrelated,0.8473075032234192,5,1904,2.0872702598571777
Low Transport,12,10234,3,2554,10,tis,tis,unrelated,0.8473075032234192,5,1904,2.0872702598571777
Low Transport,13,24448,9,1408,1,ducive,ducive,unrelated,0.8469858765602112,5,1904,1.5799801349639893
Low Transport,13,24448,9,1408,2,licenses,licenses,unrelated,0.8469858765602112,5,1904,1.5799801349639893
Low Transport,13,24448,9,1408,3,ijuana,ijuana,unrelated,0.8469858765602112,5,1904,1.5799801349639893
Low Transport,13,24448,9,1408,4,assertIsInstance,assertisinstance,unrelated,0.8469858765602112,5,1904,1.5799801349639893
Low Transport,13,24448,9,1408,5,berspace,berspace,unrelated,0.8469858765602112,5,1904,1.5799801349639893
Low Transport,13,24448,9,1408,6,tysburg,tysburg,unrelated,0.8469858765602112,5,1904,1.5799801349639893
Low Transport,13,24448,9,1408,7,mentioned,mentioned,unrelated,0.8469858765602112,5,1904,1.5799801349639893
Low Transport,13,24448,9,1408,8,oulos,oulos,unrelated,0.8469858765602112,5,1904,1.5799801349639893
Low Transport,13,24448,9,1408,9,afrost,afrost,unrelated,0.8469858765602112,5,1904,1.5799801349639893
