trace_step,chunk_index,raw_wrist_flex,processed_wrist_flex,frame_state_wrist_flex,sent_action_wrist_flex,state_key
0,0,100.0,100.0,100.0,-88.23223876953125,observation.state
1,0,100.0,100.0,100.0,-89.36743927001953,observation.state
2,0,100.0,100.0,100.0,-90.42145538330078,observation.state
3,0,100.0,100.0,100.0,-91.23509216308594,observation.state
4,0,100.0,100.0,100.0,-91.28053283691406,observation.state
5,0,100.0,100.0,100.0,-91.4697494506836,observation.state
6,0,100.0,100.0,100.0,-91.71324920654297,observation.state
7,0,100.0,100.0,100.0,-92.01741027832031,observation.state
8,0,100.0,100.0,100.0,-92.12815856933594,observation.state
9,0,100.0,100.0,100.0,-92.48651123046875,observation.state
10,0,100.0,100.0,100.0,-92.6170654296875,observation.state
11,0,100.0,100.0,100.0,-92.72551727294922,observation.state
12,0,100.0,100.0,100.0,-92.75125122070312,observation.state
13,0,100.0,100.0,100.0,-92.91352844238281,observation.state
14,0,100.0,100.0,100.0,-92.79102325439453,observation.state
15,0,100.0,100.0,100.0,-92.77521514892578,observation.state
16,0,100.0,100.0,100.0,-93.10552978515625,observation.state
17,0,100.0,100.0,100.0,-92.86690521240234,observation.state
18,0,100.0,100.0,100.0,-93.0265121459961,observation.state
19,0,100.0,100.0,100.0,-93.1683578491211,observation.state
20,0,100.0,100.0,100.0,-93.24397277832031,observation.state
21,0,100.0,100.0,100.0,-93.37937927246094,observation.state
22,0,100.0,100.0,100.0,-93.13809967041016,observation.state
23,0,100.0,100.0,100.0,-92.91182708740234,observation.state
24,0,100.0,100.0,100.0,-92.92046356201172,observation.state
25,0,100.0,100.0,100.0,-92.96001434326172,observation.state
26,0,100.0,100.0,100.0,-93.0941390991211,observation.state
27,0,100.0,100.0,100.0,-93.21251678466797,observation.state
28,0,100.0,100.0,100.0,-93.62804412841797,observation.state
29,0,100.0,100.0,100.0,-93.57415771484375,observation.state
30,0,100.0,100.0,100.0,-93.85102081298828,observation.state
31,0,100.0,100.0,100.0,-93.64088439941406,observation.state
32,0,100.0,100.0,100.0,-93.38848114013672,observation.state
33,0,100.0,100.0,100.0,-93.05790710449219,observation.state
34,0,100.0,100.0,100.0,-92.447998046875,observation.state
35,0,100.0,100.0,100.0,-91.15373229980469,observation.state
36,0,100.0,100.0,100.0,-90.76284790039062,observation.state
37,0,100.0,100.0,100.0,-89.18468475341797,observation.state
38,0,100.0,100.0,100.0,-86.82063293457031,observation.state
39,0,100.0,100.0,100.0,-84.70267486572266,observation.state
40,0,100.0,100.0,100.0,-81.73262023925781,observation.state
41,0,100.0,100.0,100.0,-79.07274627685547,observation.state
42,0,100.0,100.0,100.0,-77.96587371826172,observation.state
43,0,100.0,100.0,100.0,-76.4425277709961,observation.state
44,0,100.0,100.0,100.0,-75.20050048828125,observation.state
45,0,100.0,100.0,100.0,-73.56798553466797,observation.state
46,0,100.0,100.0,100.0,-72.11235046386719,observation.state
47,0,100.0,100.0,100.0,-71.04110717773438,observation.state
48,0,100.0,100.0,100.0,-69.94425201416016,observation.state
49,0,100.0,100.0,100.0,-70.33018493652344,observation.state
50,1,100.0,100.0,100.0,-69.59222412109375,observation.state
51,1,100.0,100.0,100.0,-68.7608871459961,observation.state
52,1,100.0,100.0,100.0,-68.40966796875,observation.state
53,1,100.0,100.0,100.0,-68.10224914550781,observation.state
54,1,100.0,100.0,100.0,-67.76432037353516,observation.state
55,1,100.0,100.0,100.0,-67.26434326171875,observation.state
56,1,100.0,100.0,100.0,-66.94587707519531,observation.state
57,1,100.0,100.0,100.0,-66.73145294189453,observation.state
58,1,100.0,100.0,100.0,-66.32535552978516,observation.state
59,1,100.0,100.0,100.0,-66.3184814453125,observation.state
60,1,100.0,100.0,100.0,-65.90508270263672,observation.state
61,1,100.0,100.0,100.0,-65.90660858154297,observation.state
62,1,100.0,100.0,100.0,-65.62628173828125,observation.state
63,1,100.0,100.0,100.0,-65.56367492675781,observation.state
64,1,100.0,100.0,100.0,-65.55670166015625,observation.state
65,1,100.0,100.0,100.0,-65.61691284179688,observation.state
66,1,100.0,100.0,100.0,-65.84280395507812,observation.state
67,1,100.0,100.0,100.0,-65.755859375,observation.state
68,1,100.0,100.0,100.0,-66.11660766601562,observation.state
69,1,100.0,100.0,100.0,-66.90055847167969,observation.state
70,1,100.0,100.0,100.0,-67.12428283691406,observation.state
71,1,100.0,100.0,100.0,-67.79637908935547,observation.state
72,1,100.0,100.0,100.0,-69.47183227539062,observation.state
73,1,100.0,100.0,100.0,-71.00352478027344,observation.state
74,1,100.0,100.0,100.0,-72.91291046142578,observation.state
75,1,100.0,100.0,100.0,-74.63470458984375,observation.state
76,1,100.0,100.0,100.0,-75.80248260498047,observation.state
77,1,100.0,100.0,100.0,-76.17257690429688,observation.state
78,1,100.0,100.0,100.0,-77.2459716796875,observation.state
79,1,100.0,100.0,100.0,-77.87200927734375,observation.state
80,1,100.0,100.0,100.0,-78.52383422851562,observation.state
81,1,100.0,100.0,100.0,-78.76091766357422,observation.state
82,1,100.0,100.0,100.0,-78.60808563232422,observation.state
83,1,100.0,100.0,100.0,-78.3088150024414,observation.state
84,1,100.0,100.0,100.0,-79.10050201416016,observation.state
85,1,100.0,100.0,100.0,-79.47152709960938,observation.state
86,1,100.0,100.0,100.0,-79.37799072265625,observation.state
87,1,100.0,100.0,100.0,-78.93438720703125,observation.state
88,1,100.0,100.0,100.0,-78.5366439819336,observation.state
89,1,100.0,100.0,100.0,-78.11775207519531,observation.state
90,1,100.0,100.0,100.0,-77.88998413085938,observation.state
91,1,100.0,100.0,100.0,-77.84619140625,observation.state
92,1,100.0,100.0,100.0,-77.58275604248047,observation.state
93,1,100.0,100.0,100.0,-77.71646118164062,observation.state
94,1,100.0,100.0,100.0,-77.37012481689453,observation.state
95,1,100.0,100.0,100.0,-77.25603485107422,observation.state
